Kollokator,Freq,Freq_Koll,PMI,t-Score,G2,MI3
philipp,3,38,6.5509,1.7136,21.5502,9.7208
lernen,3,38,6.5509,1.7136,21.5502,9.7208
zeigt,4,125,5.2481,1.9474,21.4408,9.2481
bevölkerung,4,125,5.2481,1.9474,21.4408,9.2481
gustav,3,39,6.5134,1.7131,21.3896,9.6833
schein,3,39,6.5134,1.7131,21.3896,9.6833
abgeordnete,3,39,6.5134,1.7131,21.3896,9.6833
kind,4,127,5.2252,1.9465,21.3151,9.2252
feste,3,40,6.4769,1.7126,21.2333,9.6468
wucher,3,40,6.4769,1.7126,21.2333,9.6468
fängt,3,40,6.4769,1.7126,21.2333,9.6468
jelbst,3,40,6.4769,1.7126,21.2333,9.6468
briefe,3,40,6.4769,1.7126,21.2333,9.6468
geiste,3,40,6.4769,1.7126,21.2333,9.6468
sozialdemokratie,4,129,5.2026,1.9457,21.1915,9.2026
gleich,5,280,4.4065,2.1306,21.1058,9.0503
kreuz,3,41,6.4412,1.7121,21.0811,9.6112
aufgestellt,3,41,6.4412,1.7121,21.0811,9.6112
stettin,3,41,6.4412,1.7121,21.0811,9.6112
freunde,4,133,5.1586,1.944,20.9501,9.1586
mar,3,42,6.4065,1.7116,20.9327,9.5764
karstadt,3,42,6.4065,1.7116,20.9327,9.5764
getragen,3,42,6.4065,1.7116,20.9327,9.5764
heiligen,3,42,6.4065,1.7116,20.9327,9.5764
erlebt,3,42,6.4065,1.7116,20.9327,9.5764
liegt,5,286,4.3759,2.1284,20.9019,9.0197
dadurch,4,134,5.1477,1.9436,20.891,9.1477
politische,4,134,5.1477,1.9436,20.891,9.1477
münchen,3,43,6.3725,1.7111,20.7879,9.5425
wohin,3,43,6.3725,1.7111,20.7879,9.5425
laufe,3,43,6.3725,1.7111,20.7879,9.5425
ausgerechnet,3,43,6.3725,1.7111,20.7879,9.5425
schaffen,4,136,5.1264,1.9427,20.774,9.1264
wahrheit,5,291,4.3509,2.1265,20.7355,8.9947
plan,4,137,5.1158,1.9423,20.7162,9.1158
schmähungen,2,6,8.6289,1.4106,20.689,10.6289
untertanen,2,6,8.6289,1.4106,20.689,10.6289
ligen,2,6,8.6289,1.4106,20.689,10.6289
schuhwaren,2,6,8.6289,1.4106,20.689,10.6289
lungsweise,2,6,8.6289,1.4106,20.689,10.6289
nähren,2,6,8.6289,1.4106,20.689,10.6289
volkslied,2,6,8.6289,1.4106,20.689,10.6289
gerissenheit,2,6,8.6289,1.4106,20.689,10.6289
gewähre,2,6,8.6289,1.4106,20.689,10.6289
überwiegend,2,6,8.6289,1.4106,20.689,10.6289
banten,2,6,8.6289,1.4106,20.689,10.6289
materializmus,2,6,8.6289,1.4106,20.689,10.6289
elfriede,2,6,8.6289,1.4106,20.689,10.6289
sondergleichen,2,6,8.6289,1.4106,20.689,10.6289
wucherer,2,6,8.6289,1.4106,20.689,10.6289
sondert,2,6,8.6289,1.4106,20.689,10.6289
arischen,2,6,8.6289,1.4106,20.689,10.6289
schächten,2,6,8.6289,1.4106,20.689,10.6289
erraten,2,6,8.6289,1.4106,20.689,10.6289
werf,2,6,8.6289,1.4106,20.689,10.6289
bolkszeitung,2,6,8.6289,1.4106,20.689,10.6289
repu,2,6,8.6289,1.4106,20.689,10.6289
hiessen,2,6,8.6289,1.4106,20.689,10.6289
fünfzehn,2,6,8.6289,1.4106,20.689,10.6289
deshalb,4,138,5.1053,1.9419,20.6588,9.1053
osnabrück,7,773,3.4269,2.3997,20.6251,9.0416
halten,5,295,4.3312,2.125,20.6046,8.9751
falle,4,139,5.0949,1.9415,20.6019,9.0949
erster,4,140,5.0846,1.9411,20.5454,9.0846
ebenfalls,4,141,5.0743,1.9406,20.4893,9.0743
hätte,6,516,3.7876,2.2721,20.446,8.9575
bezahlen,4,143,5.054,1.9398,20.3784,9.054
bereit,4,143,5.054,1.9398,20.3784,9.054
lesen,4,143,5.054,1.9398,20.3784,9.054
methode,3,46,6.2752,1.7097,20.374,9.4452
herren,6,521,3.7737,2.2704,20.338,8.9436
finanzminister,3,47,6.2442,1.7092,20.2423,9.4141
lebt,3,47,6.2442,1.7092,20.2423,9.4141
betrachten,3,47,6.2442,1.7092,20.2423,9.4141
verfassung,3,47,6.2442,1.7092,20.2423,9.4141
jet,3,48,6.2138,1.7087,20.1135,9.3838
gelde,3,48,6.2138,1.7087,20.1135,9.3838
ungefähr,3,48,6.2138,1.7087,20.1135,9.3838
dürfen,4,150,4.985,1.9368,20.0025,8.985
bestraft,3,49,6.1841,1.7082,19.9875,9.354
mantel,3,49,6.1841,1.7082,19.9875,9.354
erkannt,3,49,6.1841,1.7082,19.9875,9.354
basel,2,7,8.4065,1.41,19.953,10.4065
eindringen,2,7,8.4065,1.41,19.953,10.4065
weltfinanz,2,7,8.4065,1.41,19.953,10.4065
offizielle,2,7,8.4065,1.41,19.953,10.4065
verseuchte,2,7,8.4065,1.41,19.953,10.4065
gunst,2,7,8.4065,1.41,19.953,10.4065
asien,2,7,8.4065,1.41,19.953,10.4065
arische,2,7,8.4065,1.41,19.953,10.4065
aufzufordern,2,7,8.4065,1.41,19.953,10.4065
verunglimpfungen,2,7,8.4065,1.41,19.953,10.4065
gültigkeit,2,7,8.4065,1.41,19.953,10.4065
sanitätsrat,2,7,8.4065,1.41,19.953,10.4065
stetig,2,7,8.4065,1.41,19.953,10.4065
getauft,2,7,8.4065,1.41,19.953,10.4065
herrscher,2,7,8.4065,1.41,19.953,10.4065
unverschämtheit,2,7,8.4065,1.41,19.953,10.4065
golde,2,7,8.4065,1.41,19.953,10.4065
schwimmen,2,7,8.4065,1.41,19.953,10.4065
geldnot,2,7,8.4065,1.41,19.953,10.4065
ersass,2,7,8.4065,1.41,19.953,10.4065
osnabrüg,2,7,8.4065,1.41,19.953,10.4065
sklave,2,7,8.4065,1.41,19.953,10.4065
kreuze,2,7,8.4065,1.41,19.953,10.4065
hilfsverein,2,7,8.4065,1.41,19.953,10.4065
partie,2,7,8.4065,1.41,19.953,10.4065
discher,2,7,8.4065,1.41,19.953,10.4065
riechen,2,7,8.4065,1.41,19.953,10.4065
kapitalistische,2,7,8.4065,1.41,19.953,10.4065
bankdirektoren,2,7,8.4065,1.41,19.953,10.4065
verpflegung,2,7,8.4065,1.41,19.953,10.4065
einzelnen,4,151,4.9754,1.9364,19.9503,8.9754
ung,4,151,4.9754,1.9364,19.9503,8.9754
findet,4,152,4.9659,1.936,19.8985,8.9659
sollten,4,152,4.9659,1.936,19.8985,8.9659
landgericht,3,50,6.1549,1.7077,19.8641,9.3249
rechten,3,50,6.1549,1.7077,19.8641,9.3249
nimmt,4,154,4.9471,1.9352,19.7959,8.9471
david,3,51,6.1264,1.7073,19.7433,9.2963
wahl,4,156,4.9284,1.9343,19.6947,8.9284
sprechen,4,156,4.9284,1.9343,19.6947,8.9284
osnabrücer,3,52,6.0984,1.7068,19.625,9.2683
deren,5,327,4.1826,2.1129,19.6201,8.8265
gelegenheit,4,159,4.901,1.9331,19.5454,8.901
bezug,3,53,6.0709,1.7063,19.509,9.2408
unternehmen,3,53,6.0709,1.7063,19.509,9.2408
mehrheit,3,53,6.0709,1.7063,19.509,9.2408
auss,3,53,6.0709,1.7063,19.509,9.2408
brot,4,160,4.8919,1.9326,19.4963,8.8919
gründe,3,54,6.0439,1.7058,19.3952,9.2138
höhere,3,54,6.0439,1.7058,19.3952,9.2138
menge,3,54,6.0439,1.7058,19.3952,9.2138
hörigen,2,8,8.2138,1.4095,19.3331,10.2138
wochenschau,2,8,8.2138,1.4095,19.3331,10.2138
anblick,2,8,8.2138,1.4095,19.3331,10.2138
wunsche,2,8,8.2138,1.4095,19.3331,10.2138
chaim,2,8,8.2138,1.4095,19.3331,10.2138
seins,2,8,8.2138,1.4095,19.3331,10.2138
teiles,2,8,8.2138,1.4095,19.3331,10.2138
jahrhunderten,2,8,8.2138,1.4095,19.3331,10.2138
frühen,2,8,8.2138,1.4095,19.3331,10.2138
vertrieben,2,8,8.2138,1.4095,19.3331,10.2138
bac,2,8,8.2138,1.4095,19.3331,10.2138
vorschub,2,8,8.2138,1.4095,19.3331,10.2138
landsberg,2,8,8.2138,1.4095,19.3331,10.2138
unterdrückten,2,8,8.2138,1.4095,19.3331,10.2138
pfeift,2,8,8.2138,1.4095,19.3331,10.2138
russ,2,8,8.2138,1.4095,19.3331,10.2138
mossbach,2,8,8.2138,1.4095,19.3331,10.2138
entgehen,2,8,8.2138,1.4095,19.3331,10.2138
jest,2,8,8.2138,1.4095,19.3331,10.2138
erlegen,2,8,8.2138,1.4095,19.3331,10.2138
ausbreitung,2,8,8.2138,1.4095,19.3331,10.2138
versorgt,2,8,8.2138,1.4095,19.3331,10.2138
schäfte,2,8,8.2138,1.4095,19.3331,10.2138
stadträte,2,8,8.2138,1.4095,19.3331,10.2138
beigebracht,2,8,8.2138,1.4095,19.3331,10.2138
ted,2,8,8.2138,1.4095,19.3331,10.2138
beleidigte,2,8,8.2138,1.4095,19.3331,10.2138
verbinden,2,8,8.2138,1.4095,19.3331,10.2138
betenstrasse,2,8,8.2138,1.4095,19.3331,10.2138
fall,5,339,4.1306,2.1084,19.2772,8.7745
nac,4,165,4.8475,1.9305,19.2554,8.8475
zahl,4,165,4.8475,1.9305,19.2554,8.8475
dürfte,4,166,4.8388,1.9301,19.2082,8.8388
wider,3,56,5.9914,1.7048,19.1742,9.1614
reichen,3,56,5.9914,1.7048,19.1742,9.1614
zun,3,56,5.9914,1.7048,19.1742,9.1614
berg,3,56,5.9914,1.7048,19.1742,9.1614
ernst,4,168,4.8215,1.9293,19.1145,8.8215
pro,4,169,4.813,1.9288,19.0682,8.813
verhandlungen,3,57,5.9659,1.7043,19.0668,9.1358
versuchen,3,57,5.9659,1.7043,19.0668,9.1358
national,3,57,5.9659,1.7043,19.0668,9.1358
sozialdemokratischen,3,57,5.9659,1.7043,19.0668,9.1358
beamte,4,171,4.796,1.928,18.9763,8.796
tross,4,171,4.796,1.928,18.9763,8.796
billiger,3,58,5.9408,1.7039,18.9613,9.1107
praxis,3,58,5.9408,1.7039,18.9613,9.1107
adresse,3,58,5.9408,1.7039,18.9613,9.1107
lösung,3,59,5.9162,1.7034,18.8577,9.0861
ernannt,2,9,8.0439,1.4089,18.7975,10.0439
