Kollokator,Freq,Freq_Koll,PMI,t-Score,G2,MI3
gesichert,2,16,7.2138,1.4047,16.2873,9.2138
laden,3,92,5.2752,1.6873,16.1914,8.4452
russland,3,93,5.2596,1.6868,16.1272,8.4296
erklären,3,93,5.2596,1.6868,16.1272,8.4296
anfang,3,93,5.2596,1.6868,16.1272,8.4296
daran,4,249,4.2538,1.8952,16.0715,8.2538
gesagt,4,249,4.2538,1.8952,16.0715,8.2538
grunde,3,94,5.2442,1.6864,16.0636,8.4141
reisenden,2,17,7.1264,1.4041,16.0305,9.1264
ewige,2,17,7.1264,1.4041,16.0305,9.1264
rist,2,17,7.1264,1.4041,16.0305,9.1264
herrlich,2,17,7.1264,1.4041,16.0305,9.1264
unglück,2,17,7.1264,1.4041,16.0305,9.1264
gift,2,17,7.1264,1.4041,16.0305,9.1264
zit,2,17,7.1264,1.4041,16.0305,9.1264
sichtbar,2,17,7.1264,1.4041,16.0305,9.1264
knapp,2,17,7.1264,1.4041,16.0305,9.1264
pass,2,17,7.1264,1.4041,16.0305,9.1264
beauftragt,2,17,7.1264,1.4041,16.0305,9.1264
asse,2,17,7.1264,1.4041,16.0305,9.1264
beweise,2,17,7.1264,1.4041,16.0305,9.1264
hahn,2,17,7.1264,1.4041,16.0305,9.1264
demgegenüber,2,17,7.1264,1.4041,16.0305,9.1264
schweigt,2,17,7.1264,1.4041,16.0305,9.1264
herbeigeführt,2,17,7.1264,1.4041,16.0305,9.1264
losigkeit,2,17,7.1264,1.4041,16.0305,9.1264
zwingt,2,17,7.1264,1.4041,16.0305,9.1264
gold,3,95,5.2289,1.6859,16.0008,8.3989
haft,3,95,5.2289,1.6859,16.0008,8.3989
ehe,3,95,5.2289,1.6859,16.0008,8.3989
werk,3,96,5.2138,1.6854,15.9386,8.3838
aufs,3,96,5.2138,1.6854,15.9386,8.3838
eigenen,4,254,4.2252,1.8931,15.9196,8.2252
vertreten,3,97,5.1989,1.6849,15.8772,8.3688
treten,3,97,5.1989,1.6849,15.8772,8.3688
ehre,3,97,5.1989,1.6849,15.8772,8.3688
beleidigung,3,97,5.1989,1.6849,15.8772,8.3688
zentrum,4,256,4.2138,1.8922,15.8597,8.2138
goldenen,2,18,7.0439,1.4035,15.7894,9.0439
befand,2,18,7.0439,1.4035,15.7894,9.0439
gesesse,2,18,7.0439,1.4035,15.7894,9.0439
fielen,2,18,7.0439,1.4035,15.7894,9.0439
intelligenz,2,18,7.0439,1.4035,15.7894,9.0439
zerstören,2,18,7.0439,1.4035,15.7894,9.0439
vorgelegt,2,18,7.0439,1.4035,15.7894,9.0439
fliegen,2,18,7.0439,1.4035,15.7894,9.0439
geschenk,2,18,7.0439,1.4035,15.7894,9.0439
kinderwagen,2,18,7.0439,1.4035,15.7894,9.0439
bände,2,18,7.0439,1.4035,15.7894,9.0439
har,2,18,7.0439,1.4035,15.7894,9.0439
fondern,2,18,7.0439,1.4035,15.7894,9.0439
kurt,2,18,7.0439,1.4035,15.7894,9.0439
mäd,2,18,7.0439,1.4035,15.7894,9.0439
antragsteller,2,18,7.0439,1.4035,15.7894,9.0439
früherer,2,18,7.0439,1.4035,15.7894,9.0439
wirklich,4,259,4.197,1.891,15.7708,8.197
preise,4,259,4.197,1.891,15.7708,8.197
opfer,3,102,5.1264,1.6825,15.5794,8.2963
liga,2,19,6.9659,1.4029,15.5622,8.9659
reinigung,2,19,6.9659,1.4029,15.5622,8.9659
mächtig,2,19,6.9659,1.4029,15.5622,8.9659
friede,2,19,6.9659,1.4029,15.5622,8.9659
bekennen,2,19,6.9659,1.4029,15.5622,8.9659
technik,2,19,6.9659,1.4029,15.5622,8.9659
eigenartige,2,19,6.9659,1.4029,15.5622,8.9659
abwehr,2,19,6.9659,1.4029,15.5622,8.9659
handen,2,19,6.9659,1.4029,15.5622,8.9659
ausländischer,2,19,6.9659,1.4029,15.5622,8.9659
reichsverfassung,2,19,6.9659,1.4029,15.5622,8.9659
augen,4,267,4.1531,1.8876,15.539,8.1531
sucht,3,103,5.1123,1.682,15.5216,8.2822
elend,3,103,5.1123,1.682,15.5216,8.2822
gewissen,3,105,5.0846,1.681,15.4079,8.2545
fen,3,105,5.0846,1.681,15.4079,8.2545
sen,3,106,5.0709,1.6805,15.3519,8.2408
franz,3,106,5.0709,1.6805,15.3519,8.2408
montag,3,106,5.0709,1.6805,15.3519,8.2408
tum,2,20,6.8919,1.4023,15.3474,8.8919
vorwürfe,2,20,6.8919,1.4023,15.3474,8.8919
gestürzt,2,20,6.8919,1.4023,15.3474,8.8919
pflegt,2,20,6.8919,1.4023,15.3474,8.8919
urteilt,2,20,6.8919,1.4023,15.3474,8.8919
elemente,2,20,6.8919,1.4023,15.3474,8.8919
zahlungs,2,20,6.8919,1.4023,15.3474,8.8919
konditormeister,2,20,6.8919,1.4023,15.3474,8.8919
bankrott,2,20,6.8919,1.4023,15.3474,8.8919
darum,4,276,4.1053,1.8838,15.287,8.1053
halb,3,108,5.0439,1.6795,15.2415,8.2138
brachte,3,108,5.0439,1.6795,15.2415,8.2138
stark,3,109,5.0306,1.6791,15.1871,8.2005
fallen,3,109,5.0306,1.6791,15.1871,8.2005
inen,2,21,6.8215,1.4017,15.1437,8.8215
irgendwo,2,21,6.8215,1.4017,15.1437,8.8215
regeln,2,21,6.8215,1.4017,15.1437,8.8215
vertretung,2,21,6.8215,1.4017,15.1437,8.8215
verbandes,2,21,6.8215,1.4017,15.1437,8.8215
wettbewerb,2,21,6.8215,1.4017,15.1437,8.8215
herstellung,2,21,6.8215,1.4017,15.1437,8.8215
erfahren,3,110,5.0174,1.6786,15.1332,8.1874
volks,3,110,5.0174,1.6786,15.1332,8.1874
bauern,3,110,5.0174,1.6786,15.1332,8.1874
erklärt,3,111,5.0044,1.6781,15.0799,8.1743
selbstverständlich,3,112,4.9914,1.6776,15.027,8.1614
ziehen,3,113,4.9786,1.6771,14.9746,8.1485
gebr,2,22,6.7544,1.4011,14.9501,8.7544
verzeichnen,2,22,6.7544,1.4011,14.9501,8.7544
dortigen,2,22,6.7544,1.4011,14.9501,8.7544
poli,2,22,6.7544,1.4011,14.9501,8.7544
abgegeben,2,22,6.7544,1.4011,14.9501,8.7544
julius,2,22,6.7544,1.4011,14.9501,8.7544
hell,2,22,6.7544,1.4011,14.9501,8.7544
gewaltigen,2,22,6.7544,1.4011,14.9501,8.7544
universität,2,22,6.7544,1.4011,14.9501,8.7544
darstellen,2,22,6.7544,1.4011,14.9501,8.7544
zählen,2,22,6.7544,1.4011,14.9501,8.7544
wohnungsamt,2,22,6.7544,1.4011,14.9501,8.7544
löbe,2,22,6.7544,1.4011,14.9501,8.7544
lands,2,22,6.7544,1.4011,14.9501,8.7544
weltkrieg,2,22,6.7544,1.4011,14.9501,8.7544
morgen,3,114,4.9659,1.6766,14.9227,8.1358
finden,4,290,4.0339,1.8779,14.9119,8.0339
weiteren,3,115,4.9533,1.6761,14.8713,8.1232
lage,4,293,4.0191,1.8766,14.834,8.0191
treiben,3,116,4.9408,1.6757,14.8204,8.1107
jie,3,116,4.9408,1.6757,14.8204,8.1107
gesehen,3,116,4.9408,1.6757,14.8204,8.1107
uhr,5,549,3.4351,2.0293,14.7809,8.079
summe,3,117,4.9284,1.6752,14.7699,8.0984
abhängig,2,23,6.6903,1.4005,14.7655,8.6903
bewahrt,2,23,6.6903,1.4005,14.7655,8.6903
meldet,2,23,6.6903,1.4005,14.7655,8.6903
gelöst,2,23,6.6903,1.4005,14.7655,8.6903
haag,2,23,6.6903,1.4005,14.7655,8.6903
stehende,2,23,6.6903,1.4005,14.7655,8.6903
leidet,2,23,6.6903,1.4005,14.7655,8.6903
fett,2,23,6.6903,1.4005,14.7655,8.6903
begangen,2,23,6.6903,1.4005,14.7655,8.6903
darüber,4,297,3.9995,1.875,14.7315,7.9995
junge,3,119,4.904,1.6742,14.6702,8.0739
boden,3,119,4.904,1.6742,14.6702,8.0739
bringen,4,300,3.985,1.8737,14.6556,7.985
mögen,3,120,4.8919,1.6737,14.621,8.0618
löwenstein,2,24,6.6289,1.3999,14.5893,8.6289
angeboten,2,24,6.6289,1.3999,14.5893,8.6289
dawes,2,24,6.6289,1.3999,14.5893,8.6289
alien,2,24,6.6289,1.3999,14.5893,8.6289
rollen,2,24,6.6289,1.3999,14.5893,8.6289
jährigen,2,24,6.6289,1.3999,14.5893,8.6289
wan,2,24,6.6289,1.3999,14.5893,8.6289
umstände,2,24,6.6289,1.3999,14.5893,8.6289
frechheit,2,24,6.6289,1.3999,14.5893,8.6289
monaten,3,121,4.8799,1.6732,14.5723,8.0499
müsste,3,123,4.8563,1.6723,14.4761,8.0262
bezahlt,3,124,4.8446,1.6718,14.4286,8.0145
folgendes,3,124,4.8446,1.6718,14.4286,8.0145
umsonst,2,25,6.57,1.3993,14.4206,8.57
dauert,2,25,6.57,1.3993,14.4206,8.57
rhein,2,25,6.57,1.3993,14.4206,8.57
glänzend,2,25,6.57,1.3993,14.4206,8.57
leistet,2,25,6.57,1.3993,14.4206,8.57
grün,2,25,6.57,1.3993,14.4206,8.57
versailler,2,25,6.57,1.3993,14.4206,8.57
feder,2,25,6.57,1.3993,14.4206,8.57
ing,2,25,6.57,1.3993,14.4206,8.57
verlangt,3,125,4.833,1.6713,14.3815,8.0029
niht,3,126,4.8215,1.6708,14.3348,7.9914
anscheinend,3,126,4.8215,1.6708,14.3348,7.9914
leser,4,314,3.9192,1.8678,14.3119,7.9192
grössten,3,127,4.8101,1.6703,14.2885,7.98
monate,3,127,4.8101,1.6703,14.2885,7.98
mörder,2,26,6.5134,1.3987,14.2589,8.5134
lacht,2,26,6.5134,1.3987,14.2589,8.5134
ergeht,2,26,6.5134,1.3987,14.2589,8.5134
begonnen,2,26,6.5134,1.3987,14.2589,8.5134
angegriffen,2,26,6.5134,1.3987,14.2589,8.5134
gewusst,2,26,6.5134,1.3987,14.2589,8.5134
gefährlich,2,26,6.5134,1.3987,14.2589,8.5134
gesetzt,2,26,6.5134,1.3987,14.2589,8.5134
milliarden,3,129,4.7876,1.6693,14.197,7.9575
gewiss,3,131,4.7654,1.6684,14.1069,7.9353
lösen,2,27,6.4589,1.3981,14.1037,8.4589
plass,2,27,6.4589,1.3981,14.1037,8.4589
antwortete,2,27,6.4589,1.3981,14.1037,8.4589
hunderttausende,2,27,6.4589,1.3981,14.1037,8.4589
affäre,2,27,6.4589,1.3981,14.1037,8.4589
saubere,2,27,6.4589,1.3981,14.1037,8.4589
konnte,4,324,3.874,1.8636,14.0763,7.874
bild,3,132,4.7544,1.6679,14.0625,7.9243
rechte,3,132,4.7544,1.6679,14.0625,7.9243
regiert,2,28,6.4065,1.3975,13.9543,8.4065
umgekehrt,2,28,6.4065,1.3975,13.9543,8.4065
warnung,2,28,6.4065,1.3975,13.9543,8.4065
deim,2,28,6.4065,1.3975,13.9543,8.4065
besitzt,2,28,6.4065,1.3975,13.9543,8.4065
rücktritt,2,28,6.4065,1.3975,13.9543,8.4065
kommentar,2,28,6.4065,1.3975,13.9543,8.4065
aerzte,3,135,4.722,1.6664,13.9311,7.8919
geführt,3,136,4.7113,1.6659,13.888,7.8813
art,4,334,3.8301,1.8594,13.8485,7.8301
überhaupt,4,334,3.8301,1.8594,13.8485,7.8301
hannover,3,137,4.7008,1.6654,13.8453,7.8707
demnach,2,29,6.3559,1.3969,13.8105,8.3559
ehrlichen,2,29,6.3559,1.3969,13.8105,8.3559
zugeben,2,29,6.3559,1.3969,13.8105,8.3559
ohnehin,2,29,6.3559,1.3969,13.8105,8.3559
soeben,2,29,6.3559,1.3969,13.8105,8.3559
nannte,2,29,6.3559,1.3969,13.8105,8.3559
wenigstens,3,138,4.6903,1.665,13.8028,7.8602
abend,3,138,4.6903,1.665,13.8028,7.8602
führt,3,138,4.6903,1.665,13.8028,7.8602
verhandlung,3,139,4.6799,1.6645,13.7607,7.8498
wirtschaft,4,338,3.813,1.8577,13.7594,7.813
bracht,2,30,6.3069,1.3964,13.6717,8.3069
links,2,30,6.3069,1.3964,13.6717,8.3069
gutem,2,30,6.3069,1.3964,13.6717,8.3069
ausländischen,2,30,6.3069,1.3964,13.6717,8.3069
verstand,2,30,6.3069,1.3964,13.6717,8.3069
rudolf,2,30,6.3069,1.3964,13.6717,8.3069
amerikanischen,2,30,6.3069,1.3964,13.6717,8.3069
liefern,2,30,6.3069,1.3964,13.6717,8.3069
tageblatt,3,142,4.6491,1.663,13.6363,7.819
gebote,2,31,6.2596,1.3958,13.5378,8.2596
durfte,2,31,6.2596,1.3958,13.5378,8.2596
uni,2,31,6.2596,1.3958,13.5378,8.2596
schreit,2,31,6.2596,1.3958,13.5378,8.2596
samson,2,31,6.2596,1.3958,13.5378,8.2596
ausnahme,2,31,6.2596,1.3958,13.5378,8.2596
führende,2,31,6.2596,1.3958,13.5378,8.2596
zwanzig,2,31,6.2596,1.3958,13.5378,8.2596
unerhörten,2,31,6.2596,1.3958,13.5378,8.2596
aufbringen,2,31,6.2596,1.3958,13.5378,8.2596
feine,4,351,3.7585,1.8522,13.4776,7.7585
freund,3,146,4.609,1.6611,13.4745,7.7789
anwalt,3,147,4.5991,1.6606,13.4349,7.7691
problem,2,32,6.2138,1.3952,13.4082,8.2138
übel,2,32,6.2138,1.3952,13.4082,8.2138
verdanken,2,32,6.2138,1.3952,13.4082,8.2138
besseren,2,32,6.2138,1.3952,13.4082,8.2138
zins,2,32,6.2138,1.3952,13.4082,8.2138
zettel,2,32,6.2138,1.3952,13.4082,8.2138
toten,2,32,6.2138,1.3952,13.4082,8.2138
schicksal,2,32,6.2138,1.3952,13.4082,8.2138
hebt,2,32,6.2138,1.3952,13.4082,8.2138
wäch,2,32,6.2138,1.3952,13.4082,8.2138
regierung,4,355,3.7422,1.8505,13.3931,7.7422
vielleicht,4,358,3.73,1.8493,13.3305,7.73
heymann,2,33,6.1694,1.3946,13.2829,8.1694
kaufe,2,33,6.1694,1.3946,13.2829,8.1694
heran,2,33,6.1694,1.3946,13.2829,8.1694
einziger,2,33,6.1694,1.3946,13.2829,8.1694
aljo,2,33,6.1694,1.3946,13.2829,8.1694
angebot,2,33,6.1694,1.3946,13.2829,8.1694
jdee,2,33,6.1694,1.3946,13.2829,8.1694
fühlte,2,33,6.1694,1.3946,13.2829,8.1694
reichstag,3,151,4.5604,1.6586,13.2789,7.7303
dagegen,3,152,4.5509,1.6582,13.2405,7.7208
verlag,4,364,3.706,1.8468,13.2069,7.706
republik,3,154,4.532,1.6572,13.1647,7.7019
rücksicht,2,34,6.1264,1.394,13.1614,8.1264
sozialdemokrat,2,34,6.1264,1.394,13.1614,8.1264
inserate,2,34,6.1264,1.394,13.1614,8.1264
geschäftsleute,2,34,6.1264,1.394,13.1614,8.1264
jüdi,2,34,6.1264,1.394,13.1614,8.1264
faust,2,34,6.1264,1.394,13.1614,8.1264
moralisch,2,34,6.1264,1.394,13.1614,8.1264
abge,2,34,6.1264,1.394,13.1614,8.1264
fährt,2,35,6.0846,1.3934,13.0437,8.0846
union,2,35,6.0846,1.3934,13.0437,8.0846
belange,2,35,6.0846,1.3934,13.0437,8.0846
josef,2,35,6.0846,1.3934,13.0437,8.0846
besitz,2,35,6.0846,1.3934,13.0437,8.0846
gas,2,35,6.0846,1.3934,13.0437,8.0846
bli,2,35,6.0846,1.3934,13.0437,8.0846
eim,2,35,6.0846,1.3934,13.0437,8.0846
veranlassung,2,35,6.0846,1.3934,13.0437,8.0846
chen,2,35,6.0846,1.3934,13.0437,8.0846
erfolg,3,160,4.4769,1.6543,12.9432,7.6468
organisation,2,36,6.0439,1.3928,12.9294,8.0439
eng,2,36,6.0439,1.3928,12.9294,8.0439
unterrichtet,2,36,6.0439,1.3928,12.9294,8.0439
paris,2,36,6.0439,1.3928,12.9294,8.0439
verstehen,3,162,4.4589,1.6533,12.8714,7.6289
fehlbetrag,2,37,6.0044,1.3922,12.8183,8.0044
bezirk,2,37,6.0044,1.3922,12.8183,8.0044
schüler,2,37,6.0044,1.3922,12.8183,8.0044
emil,2,37,6.0044,1.3922,12.8183,8.0044
herrschaft,2,37,6.0044,1.3922,12.8183,8.0044
unsinn,2,37,6.0044,1.3922,12.8183,8.0044
entnehmen,2,37,6.0044,1.3922,12.8183,8.0044
wilh,2,37,6.0044,1.3922,12.8183,8.0044
fühlt,2,38,5.9659,1.3916,12.7104,7.9659
höchstens,2,38,5.9659,1.3916,12.7104,7.9659
fonnte,2,38,5.9659,1.3916,12.7104,7.9659
feld,2,38,5.9659,1.3916,12.7104,7.9659
beispiel,3,167,4.4151,1.6509,12.6957,7.585
oben,3,168,4.4065,1.6504,12.6612,7.5764
männer,3,169,4.3979,1.6499,12.627,7.5678
rede,3,169,4.3979,1.6499,12.627,7.5678
erneut,2,39,5.9284,1.391,12.6054,7.9284
dürften,2,39,5.9284,1.391,12.6054,7.9284
lehre,2,39,5.9284,1.391,12.6054,7.9284
total,2,39,5.9284,1.391,12.6054,7.9284
freuen,2,39,5.9284,1.391,12.6054,7.9284
türen,2,39,5.9284,1.391,12.6054,7.9284
lei,2,39,5.9284,1.391,12.6054,7.9284
helfen,3,171,4.3809,1.6489,12.5591,7.5509
mai,3,173,4.3642,1.6479,12.4921,7.5341
tut,3,174,4.3559,1.6475,12.4589,7.5258
kön,2,41,5.8563,1.3898,12.4035,7.8563
wehe,2,41,5.8563,1.3898,12.4035,7.8563
wundern,2,41,5.8563,1.3898,12.4035,7.8563
reichskanzler,2,42,5.8215,1.3892,12.3064,7.8215
kamp,3,179,4.315,1.645,12.2959,7.4849
schreiben,3,179,4.315,1.645,12.2959,7.4849
willen,3,180,4.3069,1.6445,12.2639,7.4769
eigen,2,43,5.7876,1.3886,12.2117,7.7876
treue,2,43,5.7876,1.3886,12.2117,7.7876
auftrag,2,43,5.7876,1.3886,12.2117,7.7876
betrogen,2,43,5.7876,1.3886,12.2117,7.7876
tot,2,43,5.7876,1.3886,12.2117,7.7876
gin,2,44,5.7544,1.388,12.1192,7.7544
angebracht,2,44,5.7544,1.388,12.1192,7.7544
sozial,2,44,5.7544,1.388,12.1192,7.7544
letzte,2,44,5.7544,1.388,12.1192,7.7544
eintreten,2,44,5.7544,1.388,12.1192,7.7544
forderungen,2,44,5.7544,1.388,12.1192,7.7544
august,3,186,4.2596,1.6416,12.0756,7.4296
übrigen,3,187,4.2519,1.6411,12.0448,7.4218
rettung,2,45,5.722,1.3874,12.029,7.722
nass,2,45,5.722,1.3874,12.029,7.722
gelungen,2,45,5.722,1.3874,12.029,7.722
gebe,2,45,5.722,1.3874,12.029,7.722
grosser,3,189,4.2366,1.6402,11.9839,7.4065
früher,3,189,4.2366,1.6402,11.9839,7.4065
entspricht,2,46,5.6903,1.3868,11.9407,7.6903
sämtlich,2,46,5.6903,1.3868,11.9407,7.6903
wagt,2,46,5.6903,1.3868,11.9407,7.6903
februar,3,191,4.2214,1.6392,11.9236,7.3913
allzu,2,47,5.6592,1.3862,11.8545,7.6592
dortmund,2,47,5.6592,1.3862,11.8545,7.6592
lied,2,47,5.6592,1.3862,11.8545,7.6592
stadtverwaltung,2,47,5.6592,1.3862,11.8545,7.6592
vorteil,2,47,5.6592,1.3862,11.8545,7.6592
nit,2,47,5.6592,1.3862,11.8545,7.6592
fehler,2,48,5.6289,1.3856,11.7701,7.6289
aufnahme,2,48,5.6289,1.3856,11.7701,7.6289
deutsc,2,48,5.6289,1.3856,11.7701,7.6289
kuh,2,48,5.6289,1.3856,11.7701,7.6289
wenden,2,48,5.6289,1.3856,11.7701,7.6289
arbeitslose,2,49,5.5991,1.385,11.6876,7.5991
veröffentlichen,2,49,5.5991,1.385,11.6876,7.5991
scheinbar,2,49,5.5991,1.385,11.6876,7.5991
feuer,2,49,5.5991,1.385,11.6876,7.5991
diefe,2,49,5.5991,1.385,11.6876,7.5991
det,2,49,5.5991,1.385,11.6876,7.5991
passiert,2,49,5.5991,1.385,11.6876,7.5991
formen,2,49,5.5991,1.385,11.6876,7.5991
maxk,2,49,5.5991,1.385,11.6876,7.5991
länger,2,49,5.5991,1.385,11.6876,7.5991
ueberschrift,2,49,5.5991,1.385,11.6876,7.5991
nebenbei,2,50,5.57,1.3844,11.6068,7.57
verbunden,2,50,5.57,1.3844,11.6068,7.57
weihnachten,2,50,5.57,1.3844,11.6068,7.57
halle,2,50,5.57,1.3844,11.6068,7.57
erteilt,2,50,5.57,1.3844,11.6068,7.57
stet,2,50,5.57,1.3844,11.6068,7.57
bauen,2,50,5.57,1.3844,11.6068,7.57
ausserhalb,2,50,5.57,1.3844,11.6068,7.57
april,3,202,4.1406,1.6338,11.6035,7.3105
nächsten,3,203,4.1335,1.6334,11.5754,7.3034
beruf,2,51,5.5414,1.3838,11.5276,7.5414
bein,2,51,5.5414,1.3838,11.5276,7.5414
klasse,2,51,5.5414,1.3838,11.5276,7.5414
vers,2,51,5.5414,1.3838,11.5276,7.5414
grösse,2,51,5.5414,1.3838,11.5276,7.5414
unserer,4,459,3.3715,1.8068,11.5023,7.3715
mitte,2,52,5.5134,1.3833,11.4501,7.5134
feind,2,52,5.5134,1.3833,11.4501,7.5134
hoffnung,2,52,5.5134,1.3833,11.4501,7.5134
methoden,2,52,5.5134,1.3833,11.4501,7.5134
sieg,2,52,5.5134,1.3833,11.4501,7.5134
finger,2,52,5.5134,1.3833,11.4501,7.5134
hafer,3,208,4.0984,1.6309,11.4367,7.2683
fordert,2,53,5.4859,1.3827,11.3741,7.4859
zuden,2,53,5.4859,1.3827,11.3741,7.4859
beziehen,2,53,5.4859,1.3827,11.3741,7.4859
vermögen,2,53,5.4859,1.3827,11.3741,7.4859
reichlich,2,53,5.4859,1.3827,11.3741,7.4859
treu,2,53,5.4859,1.3827,11.3741,7.4859
prozesse,2,53,5.4859,1.3827,11.3741,7.4859
zweck,2,53,5.4859,1.3827,11.3741,7.4859
alwine,2,53,5.4859,1.3827,11.3741,7.4859
bleibt,3,213,4.0641,1.6285,11.3016,7.234
jebt,2,54,5.4589,1.3821,11.2996,7.4589
vielen,3,215,4.0506,1.6275,11.2485,7.2205
spielen,2,55,5.4325,1.3815,11.2265,7.4325
entwicklung,2,55,5.4325,1.3815,11.2265,7.4325
menschheit,2,55,5.4325,1.3815,11.2265,7.4325
entschieden,2,55,5.4325,1.3815,11.2265,7.4325
berufung,2,55,5.4325,1.3815,11.2265,7.4325
französischen,2,55,5.4325,1.3815,11.2265,7.4325
gruppe,2,55,5.4325,1.3815,11.2265,7.4325
weniger,3,217,4.0372,1.6266,11.1959,7.2072
kleinen,3,217,4.0372,1.6266,11.1959,7.2072
auc,3,218,4.0306,1.6261,11.1698,7.2005
jawohl,2,56,5.4065,1.3809,11.1548,7.4065
besonder,2,56,5.4065,1.3809,11.1548,7.4065
irgendwie,2,57,5.3809,1.3803,11.0844,7.3809
max,2,57,5.3809,1.3803,11.0844,7.3809
sparen,2,58,5.3559,1.3797,11.0153,7.3559
zwölf,2,58,5.3559,1.3797,11.0153,7.3559
ludwig,2,58,5.3559,1.3797,11.0153,7.3559
ziemlich,2,59,5.3312,1.3791,10.9474,7.3312
gee,2,59,5.3312,1.3791,10.9474,7.3312
paragraphen,2,59,5.3312,1.3791,10.9474,7.3312
bielefelder,2,59,5.3312,1.3791,10.9474,7.3312
oberbürgermeister,4,500,3.2481,1.7895,10.884,7.2481
forderung,2,60,5.3069,1.3785,10.8807,7.3069
brüder,2,60,5.3069,1.3785,10.8807,7.3069
hinein,2,60,5.3069,1.3785,10.8807,7.3069
beginn,2,61,5.2831,1.3779,10.8151,7.2831
adolf,2,61,5.2831,1.3779,10.8151,7.2831
getrieben,2,61,5.2831,1.3779,10.8151,7.2831
arbeitet,2,62,5.2596,1.3773,10.7507,7.2596
lachen,2,62,5.2596,1.3773,10.7507,7.2596
rechnung,2,62,5.2596,1.3773,10.7507,7.2596
friedrich,2,62,5.2596,1.3773,10.7507,7.2596
grundlage,2,62,5.2596,1.3773,10.7507,7.2596
köln,2,62,5.2596,1.3773,10.7507,7.2596
zugleich,2,63,5.2366,1.3767,10.6873,7.2366
rung,2,63,5.2366,1.3767,10.6873,7.2366
anlass,2,63,5.2366,1.3767,10.6873,7.2366
rechtsanwalt,2,64,5.2138,1.3761,10.625,7.2138
hermann,2,64,5.2138,1.3761,10.625,7.2138
sür,2,65,5.1915,1.3755,10.5637,7.1915
frankreich,2,65,5.1915,1.3755,10.5637,7.1915
auskunft,2,66,5.1694,1.3749,10.5033,7.1694
wunsch,2,66,5.1694,1.3749,10.5033,7.1694
einzelne,2,66,5.1694,1.3749,10.5033,7.1694
fleisch,2,66,5.1694,1.3749,10.5033,7.1694
schuss,2,66,5.1694,1.3749,10.5033,7.1694
per,2,67,5.1477,1.3743,10.4439,7.1477
feststellen,2,67,5.1477,1.3743,10.4439,7.1477
schrift,2,67,5.1477,1.3743,10.4439,7.1477
natur,2,67,5.1477,1.3743,10.4439,7.1477
lagen,2,67,5.1477,1.3743,10.4439,7.1477
verdienen,2,67,5.1477,1.3743,10.4439,7.1477
staate,2,67,5.1477,1.3743,10.4439,7.1477
sagte,3,250,3.833,1.6105,10.3965,7.0029
deutsches,2,68,5.1264,1.3737,10.3855,7.1264
jursch,2,68,5.1264,1.3737,10.3855,7.1264
freunden,2,68,5.1264,1.3737,10.3855,7.1264
länder,2,68,5.1264,1.3737,10.3855,7.1264
nung,2,68,5.1264,1.3737,10.3855,7.1264
ange,2,68,5.1264,1.3737,10.3855,7.1264
jemand,2,69,5.1053,1.3731,10.3279,7.1053
fommt,2,69,5.1053,1.3731,10.3279,7.1053
wähler,2,69,5.1053,1.3731,10.3279,7.1053
deffentlichkeit,2,69,5.1053,1.3731,10.3279,7.1053
ziele,2,70,5.0846,1.3725,10.2712,7.0846
durd,2,70,5.0846,1.3725,10.2712,7.0846
zieht,2,70,5.0846,1.3725,10.2712,7.0846
endlich,3,256,3.7988,1.6076,10.2635,6.9687
mittelstandes,2,71,5.0641,1.3719,10.2153,7.0641
billige,2,71,5.0641,1.3719,10.2153,7.0641
oft,3,259,3.782,1.6061,10.1982,6.9519
offen,2,72,5.0439,1.3713,10.1602,7.0439
jhnen,2,72,5.0439,1.3713,10.1602,7.0439
kleine,3,263,3.7599,1.6042,10.1124,6.9298
strassen,2,73,5.024,1.3707,10.106,7.024
wenigen,2,73,5.024,1.3707,10.106,7.024
bekannte,2,73,5.024,1.3707,10.106,7.024
lessten,2,73,5.024,1.3707,10.106,7.024
meinung,3,264,3.7544,1.6037,10.0912,6.9243
gern,3,264,3.7544,1.6037,10.0912,6.9243
raum,2,74,5.0044,1.3702,10.0525,7.0044
teufel,2,74,5.0044,1.3702,10.0525,7.0044
wiederum,2,75,4.985,1.3696,9.9997,6.985
landtag,2,75,4.985,1.3696,9.9997,6.985
lehrer,2,75,4.985,1.3696,9.9997,6.985
ger,2,75,4.985,1.3696,9.9997,6.985
lebens,2,75,4.985,1.3696,9.9997,6.985
son,2,75,4.985,1.3696,9.9997,6.985
ansehen,2,75,4.985,1.3696,9.9997,6.985
könig,2,75,4.985,1.3696,9.9997,6.985
bald,3,270,3.722,1.6008,9.9657,6.8919
severing,2,76,4.9659,1.369,9.9477,6.9659
zurück,2,76,4.9659,1.369,9.9477,6.9659
erfolgt,2,76,4.9659,1.369,9.9477,6.9659
jungen,2,76,4.9659,1.369,9.9477,6.9659
kosten,3,272,3.7113,1.5998,9.9246,6.8813
körper,2,77,4.9471,1.3684,9.8964,6.9471
wesen,2,78,4.9284,1.3678,9.8458,6.9284
wächters,2,78,4.9284,1.3678,9.8458,6.9284
ste,2,79,4.9101,1.3672,9.7959,6.9101
post,2,79,4.9101,1.3672,9.7959,6.9101
bezw,2,79,4.9101,1.3672,9.7959,6.9101
haupt,2,79,4.9101,1.3672,9.7959,6.9101
