year,ngram,n,abs,per_million,seed_terms,category
1929,jüdisch blatt,2,2,16.19,jüdisch,Ethnisierung
1929,weihnachten jüdisch,2,2,16.19,jüdisch,Ethnisierung
1929,jüdisch profit,2,2,16.19,jüdisch,Ethnisierung
1929,jüdisch kapitalismus,2,2,16.19,jüdisch,Ethnisierung
1929,zuhälter jüdisch,2,2,16.19,jüdisch,Ethnisierung
1929,negroid jude,2,2,16.19,jude,Ethnisierung
1929,jude müssen,2,2,16.19,jude,Ethnisierung
1929,glauben jude,2,2,16.19,jude,Ethnisierung
1929,fremd rasse,2,2,16.19,rasse,NS-Terminologie
1929,jude beherrschen,2,2,16.19,jude,Ethnisierung
1929,spielen jude,2,2,16.19,jude,Ethnisierung
1929,lassen jude,2,2,16.19,jude,Ethnisierung
1929,jude siehesen,2,2,16.19,jude,Ethnisierung
1929,jude wissen,2,2,16.19,jude,Ethnisierung
1929,straße jüdisch,2,2,16.19,jüdisch,Ethnisierung
1929,jüdisch abstammung,2,2,16.19,jüdisch,Ethnisierung
1929,amerikanisch jude,2,2,16.19,jude,Ethnisierung
1929,führer jüdisch,2,2,16.19,jüdisch,Ethnisierung
1929,jüdisch wiener,2,2,16.19,jüdisch,Ethnisierung
1929,sinn jüdisch,2,2,16.19,jüdisch,Ethnisierung
1929,jüdisch gebrüder,2,2,16.19,jüdisch,Ethnisierung
1929,volk nationalsozialist,2,2,16.19,nationalsozialist,NS-Terminologie
1929,jude theodor,2,2,16.19,jude,Ethnisierung
1929,stresemann jude,2,2,16.19,jude,Ethnisierung
1929,schlagen nationalsozialistisch,2,2,16.19,nationalsozialistisch,NS-Terminologie
1929,jude verstehen,2,2,16.19,jude,Ethnisierung
1929,blatt jüdisch,2,2,16.19,jüdisch,Ethnisierung
1929,jude trotzki,2,2,16.19,jude,Ethnisierung
1929,landesverräter schützen,2,2,16.19,landesverräter,Dehumanisierung
1929,drohne parasit,2,2,16.19,parasit,Dehumanisierung
1929,parasit schirmen,2,2,16.19,parasit,Dehumanisierung
1929,revolutionsschieber jude,2,2,16.19,jude,Ethnisierung
1929,jude sklarek,2,2,16.19,jude,Ethnisierung
1929,barmatzeit jude,2,2,16.19,jude,Ethnisierung
1929,jude stadtbank,2,2,16.19,jude,Ethnisierung
1929,geldmillionär jüdisch,2,2,16.19,jüdisch,Ethnisierung
1929,jüdisch revolutionsschieber,2,2,16.19,jüdisch,Ethnisierung
1929,beantworten jude,2,2,16.19,jude,Ethnisierung
1929,jude steuerzahler,2,2,16.19,jude,Ethnisierung
1929,merkwürdigerweise jude,2,2,16.19,jude,Ethnisierung
1929,verzeichnen jüdisch,2,2,16.19,jüdisch,Ethnisierung
1929,jüdisch bankier,2,2,16.19,jüdisch,Ethnisierung
1929,pflegen jude,2,2,16.19,jude,Ethnisierung
1929,jude herr,2,2,16.19,jude,Ethnisierung
1929,jude öffentlichkeit,2,2,16.19,jude,Ethnisierung
1929,jude privatklageverfahr,2,2,16.19,jude,Ethnisierung
1929,deutsch jüdisch,2,2,16.19,jüdisch,Ethnisierung
1929,jüdisch staatsbürger,2,2,16.19,jüdisch,Ethnisierung
1929,treten jüdisch,2,2,16.19,jüdisch,Ethnisierung
1929,bedroht landesverräter,2,2,16.19,landesverräter,Dehumanisierung
1929,jude gerson,2,2,16.19,jude,Ethnisierung
1929,nationalsozialist frei,2,2,16.19,nationalsozialist,NS-Terminologie
1929,einst jude,2,2,16.19,jude,Ethnisierung
1929,jüdisch eindringling,2,2,16.19,"jüdisch, eindringling","Ethnisierung, Dehumanisierung"
1929,jüdisch journaille,2,2,16.19,jüdisch,Ethnisierung
1929,schutz jüdisch,2,2,16.19,jüdisch,Ethnisierung
1929,brennend jüdisch,2,2,16.19,jüdisch,Ethnisierung
1929,errichtung jüdisch,2,2,16.19,jüdisch,Ethnisierung
1929,sehen jude,2,2,16.19,jude,Ethnisierung
1929,hiesig jude,2,2,16.19,jude,Ethnisierung
1929,jüdisch legion,2,2,16.19,jüdisch,Ethnisierung
1929,groß jüdisch,2,2,16.19,jüdisch,Ethnisierung
1929,geldnot jüdisch,2,2,16.19,jüdisch,Ethnisierung
1929,mitinhaber jüdisch,2,2,16.19,jüdisch,Ethnisierung
