transition,term,abs_a,abs_b,pmio_a,pmio_b,pmio_diff,g2,direction,rank_aufsteiger,rank_absteiger
1929→1930,frank,3,68,24.29,255.41,231.12,-33.8701,Aufsteiger,54,10531
1929→1930,heiserkeit,0,43,0.0,161.51,161.51,-32.7744,Aufsteiger,55,10529
1929→1930,schönfeld,0,43,0.0,161.51,161.51,-32.7744,Aufsteiger,55,10529
1929→1930,markus,1,53,8.1,199.07,190.97,-32.736,Aufsteiger,57,10528
1929→1930,großestr,4,72,32.39,270.43,238.04,-32.7321,Aufsteiger,58,10527
1929→1930,wollbrink,3,66,24.29,247.9,223.61,-32.5208,Aufsteiger,59,10526
1929→1930,beschlagnahmen,0,42,0.0,157.75,157.75,-32.0122,Aufsteiger,60,10524
1929→1930,serienwaren,0,42,0.0,157.75,157.75,-32.0122,Aufsteiger,60,10524
1929→1930,gerste,1,51,8.1,191.56,183.46,-31.2876,Aufsteiger,62,10523
1929→1930,lohndruck,0,40,0.0,150.24,150.24,-30.4877,Aufsteiger,63,10520
1929→1930,kolleg,0,40,0.0,150.24,150.24,-30.4877,Aufsteiger,63,10520
1929→1930,tonfilm,0,40,0.0,150.24,150.24,-30.4877,Aufsteiger,63,10520
1929→1930,freitag,8,88,64.78,330.53,265.75,-30.3904,Aufsteiger,66,10519
1929→1930,krahnstr,5,73,40.49,274.19,233.7,-29.9887,Aufsteiger,67,10518
1929→1930,kälb,2,56,16.19,210.34,194.15,-29.8809,Aufsteiger,68,10517
1929→1930,prozess,1,49,8.1,184.05,175.95,-29.8423,Aufsteiger,69,10516
1929→1930,film,8,87,64.78,326.77,261.99,-29.803,Aufsteiger,70,10515
1929→1930,karlchen,0,39,0.0,146.48,146.48,-29.7255,Aufsteiger,71,10513
1929→1930,finkenstaedt,0,39,0.0,146.48,146.48,-29.7255,Aufsteiger,71,10513
