scope,target,collocate,cofreq,freq_target,freq_collocate,n_total,ll,pmi
1929,jüdisch,staatsbürger,9,292,16,123496,87.2315,7.8942
1929,jüdisch,profitgier,5,292,9,123496,48.2113,7.8763
1929,jüdisch,brennend,5,292,10,123496,46.7183,7.7243
1929,jüdisch,aufsichtsrat,6,292,13,123496,54.778,7.6088
1929,jüdisch,wiederum,6,292,16,123496,51.5667,7.3092
1929,jüdisch,unternehmer,5,292,15,123496,41.5091,7.1393
1929,jüdisch,judentum,7,292,23,123496,56.6365,7.0081
1929,jüdisch,problem,5,292,21,123496,37.5797,6.6539
1929,jüdisch,wehren,5,292,25,123496,35.631,6.4024
1929,jüdisch,vorgehen,5,292,25,123496,35.631,6.4024
1929,jüdisch,warenhaus,14,292,78,123496,96.8752,6.2462
1929,jüdisch,christlich,14,292,92,123496,91.8853,6.0081
1929,jüdisch,nase,5,292,35,123496,31.9895,5.9169
1929,jüdisch,verein,6,292,44,123496,37.8156,5.8498
1929,jüdisch,deutsche,15,292,110,123496,94.9979,5.8498
1929,jüdisch,erinnern,5,292,37,123496,31.4005,5.8368
1929,jüdisch,bank,9,292,89,123496,51.1937,5.4185
1929,judentum,jüdisch,7,23,292,123496,56.6365,7.0081
1930,jude,gebot,147,1125,152,266239,1583.2652,7.8384
1930,jude,nichtjüdisch,7,1125,8,266239,70.5561,7.694
1930,jude,zielenziger,8,1125,10,266239,77.5313,7.5647
1930,jude,arier,9,1125,12,266239,85.0001,7.4716
1930,jude,volksschädlich,5,1125,7,266239,46.3294,7.4012
1930,jude,vorwiegend,7,1125,10,266239,64.384,7.3721
1930,jude,inserent,19,1125,28,266239,172.9628,7.3272
1930,jude,kaufen,184,1125,313,266239,1620.1888,7.1202
1930,jude,nichtjude,8,1125,14,266239,68.4516,7.0793
1930,jude,landsberg,5,1125,9,266239,42.3567,7.0387
1930,jude,rumänien,6,1125,11,266239,50.5152,7.0122
1930,jude,arisch,9,1125,17,266239,75.03,6.9691
1930,jude,christ,31,1125,60,266239,256.9163,6.934
1930,jude,antisemit,5,1125,10,266239,40.8675,6.8867
1930,jude,palästina,6,1125,12,266239,49.0463,6.8867
1930,jude,verunglimpfung,13,1125,27,266239,105.0064,6.8322
1930,jude,schmähung,10,1125,21,266239,80.4488,6.8163
1930,jude,stündlich,5,1125,11,266239,39.5807,6.7491
1930,jude,marx,5,1125,11,266239,39.5807,6.7491
1930,jude,gläubiger,12,1125,27,266239,94.3564,6.7167
1930,jüdisch,großkapital,7,775,8,266239,75.7907,8.2317
1930,jüdisch,rubrik,6,775,7,266239,64.382,8.2019
1930,jüdisch,centralverein,11,775,13,266239,117.4698,8.1833
1930,jüdisch,schamlosigkeit,5,775,6,266239,53.0242,8.1613
1930,jüdisch,friedhof,5,775,6,266239,53.0242,8.1613
1930,jüdisch,geschäftsinhaber,6,775,8,266239,61.1321,8.0093
1930,jüdisch,zentralverein,6,775,8,266239,61.1321,8.0093
1930,jüdisch,empfehlung,10,775,14,266239,100.1864,7.9389
1930,jüdisch,verseucht,6,775,9,266239,58.678,7.8393
1930,jüdisch,staatsbürger,46,775,73,266239,443.9436,7.758
1930,jüdisch,wallstreet,5,775,8,266239,47.8575,7.7462
1930,jüdisch,feiertag,5,775,8,266239,47.8575,7.7462
1930,jüdisch,talmud,7,775,12,266239,65.5415,7.6467
1930,jüdisch,vergiften,5,775,9,266239,46.083,7.5763
1930,jüdisch,geschmacklosigkeit,5,775,9,266239,46.083,7.5763
1930,jüdisch,hochfinanz,5,775,11,266239,43.3017,7.2868
1930,jüdisch,kahal,6,775,14,266239,51.0427,7.2019
1930,jüdisch,liga,5,775,12,266239,42.165,7.1613
1930,jüdisch,boykott,7,775,17,266239,58.8362,7.1442
1930,jüdisch,schaufenster,9,775,22,266239,75.5196,7.1348
1930,judentum,marxismus,7,132,35,266239,71.9068,8.656
1930,judentum,schrift,5,132,27,266239,50.4313,8.545
1930,judentum,international,17,132,102,266239,169.1657,8.393
1930,judentum,kapitalismus,5,132,31,266239,48.9182,8.3457
1930,judentum,rasse,7,132,66,266239,62.3218,7.7409
1930,judentum,national,6,132,108,266239,45.3408,6.808
1930,judentum,wirken,5,132,104,266239,36.2745,6.5995
1930,judentum,welt,8,132,196,266239,55.5718,6.3633
1930,judentum,kampf,12,132,300,266239,83.2427,6.3341
1930,judentum,christlich,6,132,226,266239,36.4128,5.7428
1930,judentum,jüdisch,19,132,775,266239,114.2227,5.6278
1930,judentum,tatsache,6,132,274,266239,34.1188,5.4649
1930,judentum,volk,19,132,881,266239,109.3846,5.4429
1930,judentum,führen,6,132,338,266239,31.6352,5.1621
1930,judentum,land,6,132,340,266239,31.5657,5.1535
1930,judentum,zeitung,7,132,422,266239,36.0282,5.0642
