jahr,dateiname,anker,begriffe,zitat
1931,04. Ausgabe 1931.txt,Jüdisches,"geschäft, zins","um die Josephskirche Was geht in der „Herberge zur Heimat“ vor? Unerhörter Zinswucher – Riesenschwindel in Hamburg – Warnung – Jüdisches Geschäft – Erfolgreiche Tätigkeit des Stadtgartenoberinspektors Freytag Den vielfachen Gerüchten, die uns aus dem Bereich der Josephspfarre zugingen, wollen wir"
1931,04. Ausgabe 1931.txt,Juden,geld,"sind Deutschlands Unglück PAGE 2 Seite 2 | Der Stadt-Wächter | Osnabrück, den 16. Januar 1931 ...worden wie der „Stadt-Wächter“. Juden, Judengenossen und die ihnen ergebene Presse haben keine Mühe und keine Geldausgaben gescheut, um dem „Stadt-Wächter“ etwas am Zeuge flicken"
1931,04. Ausgabe 1931.txt,Jüdisches,geschäft,"um im Kreise ihrer Standesgenossen das 28jährige Stiftungsfest ihres Vereins würdig, und der Not der Zeit entsprechend einfach, zu begehen. Jüdisches „Geschäft“ Die jüdische Vieh- und Getreidehändlerplage, die schon so manchen Landwirt ins Unglück gestürzt hat, kann in abgelegenen Gegenden leider"
1931,04. Ausgabe 1931.txt,jüdische,geschäft,"ihrer Standesgenossen das 28jährige Stiftungsfest ihres Vereins würdig, und der Not der Zeit entsprechend einfach, zu begehen. Jüdisches „Geschäft“ Die jüdische Vieh- und Getreidehändlerplage, die schon so manchen Landwirt ins Unglück gestürzt hat, kann in abgelegenen Gegenden leider immer noch ihr"
1931,04. Ausgabe 1931.txt,Jude,kaufen,"ein Wagen gefahren. Ihm entsteigt ein Mann, der sich ins Haus unseres Bauern begibt. Er entpuppt sich als Viehhändler, ebenfalls Jude; er habe gehört, es sei hier eine Kuh zu verkaufen, und er möchte das Tier einmal sehen. Er befühlt das"
1931,04. Ausgabe 1931.txt,Jude,kaufen,"so geringen Preis verkaufen. Während die beiden noch reden, kommt der Bauer zurück. Er hört nun mit an, wie der Jude bietet, und wie er von seinen guten Seiten redet und streitet und feilscht. So sagt er dem Juden, wenn er"
1931,04. Ausgabe 1931.txt,Juden,kaufen,"Viehmarkt für 480 Mark verkauft worden, und den ergaunerten Verdienst, um welchen der Bauer geschädigt war, haben die drei loscheren Juden unter sich geteilt und sich gefreut, daß ihnen ihr Plan so gut gelang. Dies alles ist in der Gegend bekannt"
1931,04. Ausgabe 1931.txt,Jude,"geschäft, zins","Vieh lieber selber. Betrug am vertrauenden, auf Treu und Glauben eingestellten, abseits wohnenden Bauern, Betrug am „Gojim“, das nennt der Jude: Geschäft. Bt. Unerhörter Zinswucher Riesenschwindel in Hamburg Auf 8.000 Reichsmark in sechs Wochen 32.300 RM Zinsen. Der Staatsanwalt meint, das"
1931,04. Ausgabe 1931.txt,Jude,"zins, bank",des Bankauszuges war mir nicht ein einziges Mal von der geringsten Zinsveränderung mündlich oder schriftlich Kenntnis gegeben worden. Der getaufte Jude rechnete trotz der vereinbarten 9 bis 10 v. H. pro Jahr auf die 8.000 Goldmark innerhalb dieser ersten sechs Wochen
1931,04. Ausgabe 1931.txt,Jude,geschäft,"Manufakturwaren. Die Frau dieses Bauern hatte schon von ihrer Kindheit an dauernd in dem Geschäft von Jädlein gekauft. Auch der Jude Nathan Grünberg aus Meppen, der eine abtretbare Forderung von seinem verstorbenen Bruder Konrad über ebenfalls 500 Mark hatte, wollte bei"
