ausgabe_nr,jahrgang,datum,datum_iso,wochentag,seitenzahl,tokens_gesamt,tokens_gefiltert,dateiname_txt,dateiname_pdf,ocr_cer,ocr_wer
6,1930,23. Januar 1931,1931-01-23,Freitag,22,12893,4280,06. Ausgabe 1930.txt,06. Ausgabe 1930.pdf,,
7,1930,9. Februar 1930,1930-02-09,Sonntag,16,9405,3259,07. Ausgabe 1930-1.txt,07. Ausgabe 1930-1.pdf,,
8,1930,16. Februar 1930,1930-02-16,Sonntag,23,12297,4062,08. Ausgabe 1930.txt,08. Ausgabe 1930.pdf,,
8,1930,16. Februar 1930,1930-02-16,Sonntag,23,12297,4062,08. Ausgabe 1930.txt,08. Ausgabe 1930.pdf,,
9,1930,23. Februar 1930,1930-02-23,Samstag,24,12548,4152,09. Ausgabe 1930-1.txt,09. Ausgabe 1930-1.pdf,,
9,1930,23. Februar 1930,1930-02-23,Samstag,24,12548,4152,09. Ausgabe 1930-1.txt,09. Ausgabe 1930-1.pdf,,
10,1930,2. März 1930,1930-03-02,Sonntag,24,12476,4229,10. Ausgabe 1930.txt,10. Ausgabe 1930.pdf,,
11,1930,9. März 1930,1930-03-09,Sonntag,25,12975,4420,11. Ausgabe 1930.txt,11. Ausgabe 1930.pdf,,
12,1930,16. März 1930,1930-03-16,Sonntag,25,12990,4401,12. Ausgabe 1930.txt,12. Ausgabe 1930.pdf,,
13,1930,23. März 1930,1930-03-23,Sonntag,23,10751,3635,13. Ausgabe 1930.txt,13. Ausgabe 1930.pdf,,
14,1930,30. März 1930,1930-03-30,Sonntag,28,13434,4554,14. Ausgabe 1930-1.txt,14. Ausgabe 1930-1.pdf,,
15,1930,6. April 1930,1930-04-06,Sonntag,15,7149,2416,15. Ausgabe 1930-2.txt,15. Ausgabe 1930-2.pdf,,
16,1930,13. April 1930,1930-04-13,Sonntag,22,12456,4071,16. Ausgabe 1930-1.txt,16. Ausgabe 1930-1.pdf,5.19,30.39
17,1930,20. April 1930,1930-04-20,Sonntag,15,7427,2520,17. Ausgabe 1930.txt,17. Ausgabe 1930.pdf,,
