dateiname,muster,treffer_text,orgs_ner,pers_ner,kontext
30. Ausgaabe 1930.txt,Judengeschäft-Marking,ist ein Judengeschäft,Kamp,● Julius Cantor; E. Diekmann,"engen Mieträumen im gesunden eigenen Heim wohnen... Osnabrück, Kamp 70. ● Julius Cantor – Hasestraße: [TREFFER] ist ein Judengeschäft [/TREFFER] . ● Wasch- u. Plättanstalt E. Diekmann: Herrestraße 17 und Große Straße 12. Spezialität: Feine"
30. Ausgaabe 1930.txt,Judengeschäft-Marking,ist ein Judengeschäft,,● Samson David; ● E. Dettmar,"17 und Große Straße 12. Spezialität: Feine Damen- und Herren-Wäsche. ● Samson David – Krahnstraße: [TREFFER] ist ein Judengeschäft [/TREFFER] . ● Bodden, Osnabrück: Klingensberg 4. Kohlen und Futterartikel, Spedition. ● E. Dettmar: Hermannstr. 14."
30. Ausgaabe 1930.txt,Judengeschäft-Marking,ist ein Judengeschäft,Handwerk!,● Ph; Philipp; H. Fiege; Goldstr; ● L. Heymann,"Unterstützt das selbständige Handwerk! Kauft bei Eurem Bäcker- u. Konditormeister! ● Ph. Philipp – Großerstraße: [TREFFER] ist ein Judengeschäft [/TREFFER] . ● Autoruf 3404: H. Fiege, Goldstr. 21. ● L. Heymann – Hasestraße: ist ein"
30. Ausgaabe 1930.txt,Judengeschäft-Marking,ist ein Judengeschäft,● Bavaria-Kindl-Bräu; Goldener Saal; Bavaria-Café,H. Fiege; Goldstr; ● L. Heymann; Reichhaltiger Mittagstisch,"ist ein Judengeschäft. ● Autoruf 3404: H. Fiege, Goldstr. 21. ● L. Heymann – Hasestraße: [TREFFER] ist ein Judengeschäft [/TREFFER] . ● Bavaria-Kindl-Bräu und Goldener Saal: Reichhaltiger Mittagstisch von 1.25 Mk an. Bavaria-Café: Täglich humoristische"
30. Ausgaabe 1930.txt,Judengeschäft-Marking,ist ein Judengeschäft,,M. Niersch; Hugo Mosbach; ● H. Krikus; Bierstr; ● Otto Loeb,"M. Niersch: Schneidermeisterin, Möserstr. 42. Ausbildung im Zuschneiden und Nähen. ● Hugo Mosbach – Großerstraße: [TREFFER] ist ein Judengeschäft [/TREFFER] . ● H. Krikus, Bierstr. 37: Uhren-Bestecke-Trauringe kaufen Sie gut und preiswert. ● Otto Loeb"
30. Ausgaabe 1930.txt,Judengeschäft-Marking,ist ein Judengeschäft,,H. Krikus; ● Otto Loeb; Bierstrasse; ● Hypothekengeld,"H. Krikus, Bierstr. 37: Uhren-Bestecke-Trauringe kaufen Sie gut und preiswert. ● Otto Loeb – Johannisstraße: [TREFFER] ist ein Judengeschäft [/TREFFER] . ● Kaffeehaus Widerhall: Bierstrasse 16. Jeden Sonntag Konzert. ● Hypothekengeld u. Kredite: an Beamte"
30. Ausgaabe 1930.txt,Judengeschäft-Marking,ist ein Judengeschäft,● Markus & Co.; ● Gasthaus,Herbert Cröplin; Kamp; Franz Hülsmann,"Beamte und Festbesoldete durch Herbert Cröplin, Kamp 40 c. ● Markus & Co. – Großerstraße: [TREFFER] ist ein Judengeschäft [/TREFFER] . ● Autoruf 3388: Vermietung auch an Selbstfahrer. ● Gasthaus zur Butenburg: Franz Hülsmann, Gr."
30. Ausgaabe 1930.txt,Judengeschäft-Marking,ist ein Judengeschäft,● Blank & Co.,Franz Hülsmann; Gr; ● H. Thode; Seminarstraße Ecke Lyrastr,"Franz Hülsmann, Gr. Gildewart 12. Fremdenzimmer Preis 2.50 RM. ● Blank & Co. – Großerstraße: [TREFFER] ist ein Judengeschäft [/TREFFER] . ● H. Thode, Maßgeschäft: Seminarstraße Ecke Lyrastr. Anfertigung la moderner Herren-Damenkleidung. ● Der „Stadt-Wächter“:"
30. Ausgaabe 1930.txt,Judengeschäft-Marking,ist ein Judengeschäft,● Alsberg & Co.,Möbelvertrieb Heinr; Stranghöner,Ihren mageren Anzeigenetat nicht an wertlose Ankündigungen in Tageszeitungen... ● Alsberg & Co. – Großerstraße: [TREFFER] ist ein Judengeschäft [/TREFFER] . ● Möbelvertrieb Heinr. Stranghöner: Augustenburgerstraße 4 und 5. Schlafzimmer ab 550 RM. ● Photograph
30. Ausgaabe 1930.txt,Judengeschäft-Marking,ist ein Judengeschäft,,● S. Wertheim; Rezept Dr. Schierbaum's; Lohstr,"Mai: Rudolfstr. 16. Hochzeits-, Vereins-, Familienaufnahmen. ● Autovermietung: Telefon 5410. ● S. Wertheim – Großerstraße: [TREFFER] ist ein Judengeschäft [/TREFFER] . ● Echte Kräuterbonbons: nach Rezept Dr. Schierbaum's. Joh. Wollbrink, Lohstr. 19. PAGE 5 Seite"
30. Ausgaabe 1930.txt,Judengeschäft,Judengeschäft,Feldkamps Landschwarzbrot,Brinkmann; Emil Schönfeld; ● Feldkamps Landschwarzbrot,"Anordnung: Brinkmann, Justizangestellter. Kleine Anzeigen / Gewerbliche Inserate ● Emil Schönfeld – Großerstraße: ist ein [TREFFER] Judengeschäft [/TREFFER] . ● Feldkamps Landschwarzbrot: Auch im heißen Sommer erhalten Sie jetzt Feldkamps Landschwarzbrot in der"
30. Ausgaabe 1930.txt,Judengeschäft,Judengeschäft,Kamp,● Julius Cantor; E. Diekmann,"im gesunden eigenen Heim wohnen... Osnabrück, Kamp 70. ● Julius Cantor – Hasestraße: ist ein [TREFFER] Judengeschäft [/TREFFER] . ● Wasch- u. Plättanstalt E. Diekmann: Herrestraße 17 und Große Straße 12. Spezialität: Feine"
