Kollokator,Freq,Freq_Koll,PMI,t-Score,G2,MI3
juden,3,1077,9.0841,1.7289,32.4416,12.2541
verein,2,111,11.7776,1.4138,28.9709,13.7776
geschäfte,2,130,11.5496,1.4137,28.3338,13.5496
feine,2,351,10.1166,1.4129,24.3432,12.1166
bürger,2,411,9.889,1.4127,23.7108,11.889
jüdischen,2,453,9.7486,1.4126,23.3211,11.7486
