Wortform,Häufigkeit
sozialdemokratie,206
sozialdemokraten,185
sozialdemokratischen,153
sozialdemokratische,118
sozialdemokrat,62
sozialdemokratischer,22
sozialdemokratisch,6
sozialdemokratisches,5
sozialdemokratischem,1
sozialdemokratenpresse,1
sozialdemokratismus,1
