Nr,Datei,Treffer-Wortform,Kontext
412,OCR 34. Ausgabe.txt,sozialdemokratischen,"sogar der „ Sachverständige “ der sozialdemokratischen Parteiregierung , 
 Reichsbankpräsident Schacht ,"
413,OCR 34. Ausgabe.txt,Sozialdemokraten,"in dieser verhältnismäßig kurzen Zeit die Sozialdemokraten 
 um 1.200.000 abgenommen , die"
414,OCR 34. Ausgabe.txt,Sozialdemokraten,"aus friedfertig 
 angelegten Naturen gedankenlose Sozialdemokraten macht . “ Heute aber unterstützen"
415,OCR 34. Ausgabe.txt,sozialdemokratische,", welche Motive für 
 die sozialdemokratische Regierung vorliegen , diese neuen Milliarden"
416,OCR 34. Ausgabe.txt,sozialdemokratischen,"nur das 
 verbrecherische Treiben der sozialdemokratischen Machthaber zu bunt geworden zu sein"
417,OCR 35. Ausgabe .txt,Sozialdemokratie,". Die angegangenen Parteien haben ohne Sozialdemokratie , 
 Zentrum und Stadt-Wächter-Partei verhandelt"
418,OCR 35. Ausgabe .txt,Sozialdemokratie,"absoluter Irrtum , daß wir die Sozialdemokratie als Arbeitervertretung 
 bekämpften . Den"
419,OCR 35. Ausgabe .txt,sozialdemokratische,"Kreisblattes “ 
 nachzulesen . Der sozialdemokratische Konsumverein inseriert darin Rauchheringe und 
"
420,OCR 35. Ausgabe .txt,sozialdemokratischen,", daß man auch in 
 sozialdemokratischen Kreisen weiß , welches rege Interesse"
421,OCR 36. Ausgabe.txt,Sozialdemokratie,"an einem 
 Kampf gegen die Sozialdemokratie um jeden Preis nicht beteiligen werden"
422,OCR 36. Ausgabe.txt,Sozialdemokratie,"werden . Meinetwegen mag 
 die Sozialdemokratie ruhig den Bürgervorsteherworthalter stellen . Wir"
423,OCR 36. Ausgabe.txt,Sozialdemokratie,"Hoffentlich verstehen die 
 Vertreter der Sozialdemokratie uns . Wir möchten sie davor"
424,OCR 36. Ausgabe.txt,Sozialdemokratie,"das hiesige Organ der Völker verderbenden Sozialdemokratie wieder in 
 nichtswürdiger Weise über"
425,OCR 9. korrekt.txt,sozialdemokratischen,"natürlich einer der Bonzen 
 der sozialdemokratischen Partei – gefragt wurde , warum"
426,OCR 9. korrekt.txt,Sozialdemokrat,"Man bedenke , Herr König ist Sozialdemokrat . Er 
 stammt aus einfachen"
427,OCR 9. korrekt.txt,sozialdemokratische,"sich ist es für die 
 sozialdemokratische Arbeiterschaft schon eine Beruhigung , wenn"
