Nr,Datei,Treffer-Wortform,Kontext
126,24. Ausgabe 1930.txt,sozialdemokratischen,"der „ Wirtschaftliche Beobachter “ einen sozialdemokratischen Aufsatz abgedruckt , in 
 welchem"
127,24. Ausgabe 1931-1.txt,sozialdemokratischen,"luxuriöse Ausstattung der Dienstwohnung des 
 sozialdemokratischen Landrats Dr. Guose . Diese Wohnung"
128,25. Ausgabe 1930.txt,Sozialdemokraten,"alles Recht und parlamentarischen Brauch den Sozialdemokraten den 
 Worthalterposten legal zu entreißen"
129,25. Ausgabe 1930.txt,Sozialdemokraten,"nicht wahr ? Mit den 
 Sozialdemokraten , die in Wirklichkeit keinen Funken"
130,25. Ausgabe 1930.txt,Sozialdemokratie,"Bolschewismus , wie ihn die regierende Sozialdemokratie und ihre 
 Handlanger unter Billigung"
131,25. Ausgabe 1930.txt,Sozialdemokratie,"der Zusammenhänge 
 schützend vor die Sozialdemokratie gestellt hat , so bleibt jede"
132,25. Ausgabe 1930.txt,Sozialdemokrat,"weil nicht er , sondern der Sozialdemokrat Staudinger zum 
 Staatssekretär im Handelsministerium"
133,25_26 Ausgabe 1931.txt,Sozialdemokratie,", die große 
 Widerstandskraft der Sozialdemokratie und das Anwachsen der Kommunistischen Partei"
134,25_26 Ausgabe 1931.txt,Sozialdemokraten,"Rom und Juda ( Zentrum und Sozialdemokraten ) machen alle Anstrengungen , das"
135,25_26 Ausgabe 1931.txt,Sozialdemokraten,"
 Juden bezw . ihre Kampftruppen Sozialdemokraten und Kommunisten . In beiden Parteien"
136,25_26 Ausgabe 1931.txt,Sozialdemokraten,"geborgen wie im Schoße der 
 Sozialdemokraten . Christliche Kirche und Kapitalismus sind"
137,25_26 Ausgabe 1931.txt,sozialdemokratisches,", Paulchen nämlich sein rotes , sozialdemokratisches Herz 
 entdeckte , machte er"
138,26. Ausgabe 1930.txt,Sozialdemokrat,"Da ist 
 zum Beispiel der Sozialdemokrat Wittrock in Kassel , der Freund"
139,26. Ausgabe 1930.txt,sozialdemokratischen,"Das von uns angeprangerte Festessen des sozialdemokratischen 
 Herrn Kultusministers Grimme im königlichen"
140,26. Ausgabe 1930.txt,sozialdemokratischer,"sehr geschmacklos , dass ein 
 sozialdemokratischer Minister in Zeiten bitterster Not in"
141,26. Ausgabe 1930.txt,Sozialdemokratie,"Hunger stillen können . “ 
 Sozialdemokratie und Bauernnot Das sozialdemokratische „ Potsdamer"
142,26. Ausgabe 1930.txt,sozialdemokratische,"“ 
 Sozialdemokratie und Bauernnot Das sozialdemokratische „ Potsdamer Volksblatt “ in 
"
143,27. Ausgabe 1930.txt,Sozialdemokraten,"bei den Kommunisten wie bei den Sozialdemokraten haben die Juden unbedingt die 
"
144,27. Ausgabe 1930.txt,sozialdemokratische,"die schwere Bürde des Amtes beispielsweise sozialdemokratische Abgeordnete 
 veranlasst , in die"
145,27. Ausgabe 1930.txt,sozialdemokratische,"ereignete sich in Bayern . Der sozialdemokratische 
 Abgeordnete Martin Gruber begab sich"
146,27_28. Ausgabe 1931.txt,Sozialdemokratie,"
 Schutztruppe der römischen , die Sozialdemokratie die der jüdischen Machthaber in 
"
147,27_28. Ausgabe 1931.txt,Sozialdemokratie,". Wenn sich Zentrum und 
 Sozialdemokratie mal gegenseitig Sand an die Fensterscheiben"
148,27_28. Ausgabe 1931.txt,Sozialdemokratie,"eine unter dem Einfluß der internationalen Sozialdemokratie stehende 
 Erfüllungs- , Handelsvertrags- ,"
149,27_28. Ausgabe 1931.txt,Sozialdemokratie,". Die stärkste Begünstigung erfuhr die Sozialdemokratie durch das 
 Zentrum , das"
150,27_28. Ausgabe 1931.txt,Sozialdemokratie,"gelungen , das Zentrum von der Sozialdemokratie zu lösen . Es hat daher"
151,28. Ausgabe 1930.txt,Sozialdemokratie,"die schafgeduldigen sogenannten 
 Arbeitervertreter der Sozialdemokratie auf dem Rathause . Diese Bürgervorsteher"
152,28. Ausgabe 1930.txt,sozialdemokratische,", war , daß die 
 sozialdemokratische Bauhütte beim Krankenkassenneubau auswärtige Maurer und"
153,28. Ausgabe 1930.txt,sozialdemokratische,"gehen müssen . So sieht die sozialdemokratische 
 Ankurbelungsarbeit in der Praxis aus"
154,28. Ausgabe 1930.txt,sozialdemokratischen,"
 kann , sondern auch die sozialdemokratischen Ortskrankenkassen . Anscheinend ist der richtige"
155,28. Ausgabe 1930.txt,sozialdemokratische,"Ob sich der 
 jüdische und sozialdemokratische Vorstand aber im Klaren darüber ist"
156,29. Ausgabe 1930.txt,Sozialdemokratie,"! 
 Weder ein Vertreter der Sozialdemokratie , noch ein Zentrumsmann , noch"
157,29. Ausgabe 1931.txt,Sozialdemokraten,". 

 Nicht die Kommunisten und Sozialdemokraten sind unsere Feinde , unsere Feinde"
158,29. Ausgabe 1931.txt,Sozialdemokrat,"
 Wer schreibt so ? Der Sozialdemokrat Ludwig Duessel 1929 in den „"
159,29. Ausgabe 1931.txt,sozialdemokratischen,"
 hat vor längerer Zeit einen sozialdemokratischen Demonstrationszug persönlich geleitet , der nur"
160,30. Ausgaabe 1930.txt,Sozialdemokratischer,"| Hauszinssteuer und Baugenossenschaften | 
 Sozialdemokratischer Regierungsrat als Betrüger | Ist so"
161,30. Ausgaabe 1930.txt,sozialdemokratischen,"eine Zahl , die sich die sozialdemokratischen Wähler hinter die Ohren schreiben und"
162,30. Ausgaabe 1930.txt,Sozialdemokratischer,"Heine ( Chaim Bückeburg ) 
 Sozialdemokratischer Regierungsrat als Betrüger 
 Eisleben ,"
163,30. Ausgaabe 1930.txt,sozialdemokratische,"Vorsitzende des Arbeitsamtes , der 
 sozialdemokratische Regierungsrat Müntter , zu 2 ½"
164,30. Ausgaabe 1930.txt,sozialdemokratisches,"die Gemeinden . 
 Ein liebliches sozialdemokratisches Idyll ist also durch rauhen Zugriff"
165,30. Ausgabe 1931.txt,sozialdemokratische,"
 Konkordat abgeschlossen , das der sozialdemokratische Ministerpräsident als Vorposten des 
 Judentums"
166,30. Ausgabe 1931.txt,Sozialdemokratie,"des Zentrums mit der 
 verjudeten Sozialdemokratie eingetreten ist . Es ist Unsinn"
167,30. Ausgabe 1931.txt,Sozialdemokratie,". Das Zentrum hat von der Sozialdemokratie die 
 Stärkung der Machtstellung der"
168,30. Ausgabe 1931.txt,Sozialdemokratie,"mußte 
 das Zentrum der jüdischen Sozialdemokratie in gleicher Weise wirtschaftliche und politische"
169,30. Ausgabe 1931.txt,Sozialdemokratie,", daß das Judentum 
 der Sozialdemokratie seine Volksverseuchung immer frecher betreiben darf"
170,31. Ausgabe 1930.txt,Sozialdemokraten,"die längste Zeit die Regierungskunst der Sozialdemokraten 
 unter Müller mit dem unvergesslichen"
171,31. Ausgabe 1930.txt,Sozialdemokraten,"wenig Neigung haben , Zentrum und Sozialdemokraten nach den Erfahrungen 
 der letzten"
172,31. Ausgabe 1930.txt,Sozialdemokraten,"letzten Augenblick gegen den Antrag der Sozialdemokraten stimmen würden . In 
 Finanzkreisen"
173,31. Ausgabe 1930.txt,Sozialdemokratie,"gesehen , wie die Führer der Sozialdemokratie den Arbeitern den Kampf 
 gegen"
174,31. Ausgabe 1930.txt,Sozialdemokratische,"Jahrhunderts , hat jetzt für die Sozialdemokratische 
 Partei einen Wahlaufruf erlassen ."
175,31. Ausgabe 1931.txt,sozialdemokratischen,"Baurats Dr. Wagner der Vorsitzende der sozialdemokratischen Landtagsfraktion , der 
 Jude Heilmann"
176,31. Ausgabe 1931.txt,Sozialdemokratie,"an diesen Zuständen trifft die 
 Sozialdemokratie und die Parteien , die mittelbar"
177,31. Ausgabe 1931.txt,Sozialdemokrat,"ist , daß Herr Schuler selbstverständlich Sozialdemokrat ist . Genau so , wie"
178,31. Ausgabe 1931.txt,sozialdemokratischen,"der Sozialversicherung und Volkswirtschaft bezeichneten 
 sozialdemokratischen Agitatoren Medlin und Schulz . Bemerkenswert"
179,31. Ausgabe 1931.txt,sozialdemokratischen,"zum anderen , damit dem 
 sozialdemokratischen Gemeindevorstand klargemacht wird , daß die"
180,32. Ausgabe 1930.txt,Sozialdemokratie,", zwingende Hintergründe . 

 Die Sozialdemokratie hat solche finanziellen Sorgen nie gehabt"
181,32. Ausgabe 1930.txt,Sozialdemokratie,"Unrecht behauptet worden , daß die Sozialdemokratie die Schutztruppe des jüdischen 
 Kapitals"
182,32. Ausgabe 1930.txt,Sozialdemokratie,"mit dem Erfolg , daß die Sozialdemokratie bisher mit 
 den Ausgaben für"
183,32. Ausgabe 1930.txt,Sozialdemokratie,". Seit 60 Jahren predigt die Sozialdemokratie 
 den Klassenkampf und Aufruhr und"
184,32. Ausgabe 1930.txt,Sozialdemokratie,"in die Hand gegeben wie der Sozialdemokratie . 
 Vertrauensvoll schauten die schaffenden"
185,32. Ausgabe 1931.txt,Sozialdemokraten,"Diese 
 Leute ( die jüdischen Sozialdemokraten ) gehören nun mal nicht zu"
186,32. Ausgabe 1931.txt,Sozialdemokrat,"gebracht , als 
 der ehemalige Sozialdemokrat August Winnig . Maurer von Beruf"
187,32. Ausgabe 1931.txt,Sozialdemokrat,"der Provinz Hannover , Herrn 
 Sozialdemokrat Noske , unterstellte Polizeischule hatte einen"
188,32. Ausgabe 1931.txt,Sozialdemokratie,Löhnung – gleiches Eisen “ die Sozialdemokratie während des Krieges einen wütenden Vorstoß
189,33. Ausgabe 1930.txt,Sozialdemokratie,"widernatürlichen Unzucht Die jüdisch geführte 
 Sozialdemokratie – Kommunismus , das Werk der"
190,33. Ausgabe 1930.txt,Sozialdemokraten,"
 Tante vom Breiten Gang den Sozialdemokraten eins zu pflastern . Sie schreibt"
191,33. Ausgabe 1930.txt,sozialdemokratische,"schreibt : Kürzlich tat der 
 sozialdemokratische Fraktionsredner Keil in der Sitzung des"
192,33. Ausgabe 1930.txt,Sozialdemokratie,"den 
 Ausspruch : „ Die Sozialdemokratie hat das Deutsche Reich aus der"
193,33. Ausgabe 1930.txt,Sozialdemokratie,"tiefsten Not gerettet . Die 
 Sozialdemokratie ist die starke Stütze dieses Staates"
194,33. Ausgabe 1931.txt,Sozialdemokraten,"jüdischer Führung stehende 
 Judenpartei der Sozialdemokraten gebunden sind , ist gewiß ein"
195,34. Ausgabe 1930.txt,Sozialdemokratisches,"Donnerstag Nachmittag 4 Uhr . 
 Sozialdemokratisches Führertum / Die Lügen-Partei einst ,"
196,34. Ausgabe 1930.txt,Sozialdemokratie,"

 Wie das führende Bonzentum der Sozialdemokratie die Arbeiterschaft bewusst belogen hat ,"
197,34. Ausgabe 1930.txt,Sozialdemokrat,". “ 
 Reichsarbeitsminister Wissell ( Sozialdemokrat ) am 5. 2. 1929 im"
198,34. Ausgabe 1930.txt,Sozialdemokrat,"“ Reichstagspräsident Paul Löbe 
 ( Sozialdemokrat ) am 30 / 31. 3."
199,34. Ausgabe 1930.txt,Sozialdemokrat,". “ Otto Wels 
 ( Sozialdemokrat ) im Mai 1929 auf dem"
200,35. Ausgabe 1930-1.txt,Sozialdemokratie,"überzeugt sind , daß die 
 Sozialdemokratie die Vernichtung der Kirche Christi und"
201,35. Ausgabe 1930-1.txt,Sozialdemokratie,"das 
 Zentrum mit dieser verdammungswürdigen Sozialdemokratie im Reich Koalitionen gebildet hat 
"
202,35. Ausgabe 1930-1.txt,Sozialdemokratie,"wird , daß es mit der Sozialdemokratie gemeinsam in Preußen das 
 Konkordat"
203,35. Ausgabe 1930-1.txt,sozialdemokratischen,"können , vielleicht gar 
 einen sozialdemokratischen Abgeordneten ; denn der Orang-Utan hat"
204,35. Ausgabe 1930-1.txt,sozialdemokratische,"und Parteifanatismus “ Der langjährige 
 sozialdemokratische Landrat des Kreises Hannover-Linden , Dr."
205,36. Ausgabe 1930.txt,sozialdemokratischen,", daß die Wirtschaftspartei in dem sozialdemokratischen Juden 
 Hilferding ihren sachverständigen Minister"
206,36. Ausgabe 1930.txt,sozialdemokratische,"sind , 
 sondern wie der sozialdemokratische Finanzminister Jude Hilferding , von Beruf"
207,36. Ausgabe 1930.txt,Sozialdemokratische,"daß die USPD ( Unabhängige 
 Sozialdemokratische Partei Deutschlands ) mit „ eigenen"
208,36. Ausgabe 1930.txt,Sozialdemokraten,"Händen und ein Machtfaktor der 
 Sozialdemokraten sind , und nun verstehen wir"
209,37. Ausgabe 1930.txt,sozialdemokratischen,"vorzüglichen Verbindungen zu der Zentrums- oder sozialdemokratischen 
 Regierung zu benutzen , um"
210,37. Ausgabe 1930.txt,Sozialdemokraten,"machen , mögen eines bedenken : Sozialdemokraten und Zentrumswähler , die nicht den"
211,37. Ausgabe 1930.txt,Sozialdemokraten,"diejenigen Zentrumsleute , Volksparteiler und 
 Sozialdemokraten , die durch das Volk gewählt"
212,37. Ausgabe 1930.txt,Sozialdemokratie,"den Herrschaften des Zentrums und der Sozialdemokratie zu zeigen , wie 
 das"
213,38. Ausgabe 1930.txt,Sozialdemokraten,"taten sich unmittelbar vor der Wahl Sozialdemokraten und Zentrum darin besonders 
 hervor"
214,38. Ausgabe 1930.txt,sozialdemokratische,"zu halten , die Abwanderung ins sozialdemokratische oder „ bürgerliche “ Lager zu"
215,38. Ausgabe 1930.txt,Sozialdemokraten,"des Zentrums , die rote der Sozialdemokraten und die goldene der 
 Juden"
216,38. Ausgabe 1930.txt,sozialdemokratischen,"lesen : Landesverrat ist nach 
 sozialdemokratischen Begriffen eine hervorragende Tugend und ein"
217,38. Ausgabe 1930.txt,Sozialdemokratie,"Landesverrats Verurteilte wird von der staatserhaltenden Sozialdemokratie als Held und 
 Märtyrer gefeiert"
218,39. Ausgabe 1930.txt,Sozialdemokraten,mit denen man die Ergebnisse der Sozialdemokraten und vor allem den Zuwachs der
219,39. Ausgabe 1930.txt,Sozialdemokratie,"sagen : 
 Preisabbau ? Die Sozialdemokratie behauptet immer , die Lebensinteressen des"
220,39. Ausgabe 1930.txt,sozialdemokratische,", Apotheker ) 
 SPD-Gehälter Die sozialdemokratische Presse fühlt sich seit der Reichstagsauflösung"
221,39. Ausgabe 1930.txt,Sozialdemokraten,"Bevölkerung befinden . Allerdings scheinen die Sozialdemokraten dabei vergessen zu haben , 
"
222,39. Ausgabe 1930.txt,sozialdemokratische,". Unter anderem schrieb die 
 sozialdemokratische Presse : „ Wo bleibt das"
223,40. Ausgabe 1930.txt,Sozialdemokraten,"
 Baade und Schmidt von den Sozialdemokraten . Eine vorbildliche „ Einheitsfront “"
224,40. Ausgabe 1930.txt,Sozialdemokratie,"jetzt , dass die jüdische 
 Sozialdemokratie sich bereit finden wird , diesem"
225,40. Ausgabe 1930.txt,Sozialdemokraten,"in ihrer Partei , während die Sozialdemokraten nicht einmal ihre Stellung zu halten"
226,40. Ausgabe 1930.txt,Sozialdemokratie,"
 Zusammenarbeit mit der angeblich religionslosen Sozialdemokratie ausgesprochen hat . Also 
 mit"
227,40. Ausgabe 1930.txt,Sozialdemokratie,"wird es vom Zentrum und der Sozialdemokratie wohl 
 wiederum heißen : „"
228,41. Ausgabe 1930.txt,Sozialdemokratie,"ist , die Bonzen 
 einer Sozialdemokratie zu beleidigen , deren höchster Exponent"
229,41. Ausgabe 1930.txt,Sozialdemokratie,"einmal die geblähte 
 Vornehmheit der Sozialdemokratie auf ihre „ Seele “ untersucht"
230,41. Ausgabe 1930.txt,Sozialdemokrat,"“ untersucht : 
 Der frühere Sozialdemokrat Emil Unger-Winkelried hat vor Kurzem eine"
231,41. Ausgabe 1930.txt,Sozialdemokratischen,"Niederbruch der einstmals so stolzen 

 Sozialdemokratischen Partei bringt , dass es einen"
232,41. Ausgabe 1930.txt,Sozialdemokratie,"Hund jammern könnte . Die 
 Sozialdemokratie will die Menschheit zu den lichten"
233,42. Ausgabe 1930.txt,sozialdemokratischen,"über die Oppositionsredner in den 
 sozialdemokratischen Gewerkschaftsversammlungen sachlich berichtet worden wäre ."
234,42. Ausgabe 1930.txt,Sozialdemokrat,"letzten Sitzung des Bürgervorsteher-Kollegiums gab der Sozialdemokrat Stagerfeld 
 Bericht über die Prüfung"
235,43. Ausgabe 1930.txt,Sozialdemokratie,"die Gewerkschaften als Vorspanner der 
 Sozialdemokratie den Arbeitern verschwiegen haben : daß"
236,43. Ausgabe 1930.txt,Sozialdemokrat,"Treppenwitz der Weltgeschichte , dass ein Sozialdemokrat von 
 Staatswegen das Konkordat des"
237,43. Ausgabe 1930.txt,sozialdemokratischen,"Der Schulerlaß des feigen braunschweigischen 
 sozialdemokratischen Volksbildungsministers , der den Braunschweiger Schulen"
238,43. Ausgabe 1930.txt,sozialdemokratischen,"in dem von der Aufhebung des sozialdemokratischen Schulerlasses 
 Kenntnis gegeben wird ."
239,43. Ausgabe 1930.txt,sozialdemokratischen,"Verhandlungen über die 
 Rechtsungültigkeit des sozialdemokratischen Schulerlasses geführt wurden . So sieht"
240,44. Ausgabe 1930.txt,sozialdemokratischen,"Wisch 
 unterschrieben haben . Von sozialdemokratischen Abgeordneten finden wir dort Sollmann ,"
241,44. Ausgabe 1930.txt,Sozialdemokratie,"verfolgen , den Zentrum und 
 Sozialdemokratie untereinander ausfechten . Das Zentrum sieht"
242,44. Ausgabe 1930.txt,Sozialdemokratismus,"
 aller Feinde die Führer des Sozialdemokratismus sind . Und wenn SPD und"
243,44. Ausgabe 1930.txt,sozialdemokratischen,"Entwicklung in Deutschland den Sturz der sozialdemokratischen Vorherrschaft in 
 Preußen ansehen ."
244,44. Ausgabe 1930.txt,Sozialdemokratie,"aber in Preußen mit seiner 
 Sozialdemokratie regiert und sich rücksichtslos über den"
245,45. Ausgabe 1930.txt,Sozialdemokraten,"Die nannten 
 sich Kommunisten , Sozialdemokraten , Rot-Front usw. Und alle die"
246,45. Ausgabe 1930.txt,Sozialdemokraten,", die die rotschwarze Regierung des Sozialdemokraten Braun stützt . Der 
 Auflösungsantrag"
247,45. Ausgabe 1930.txt,sozialdemokratischen,"Stimmen . Damit sind die 
 sozialdemokratischen Bonzen vor dem Schicksal ihrer Genossen"
248,45. Ausgabe 1930.txt,sozialdemokratische,"regiert in Berlin noch heute der sozialdemokratische Polizeipräsident 
 Zörgiebel , der dafür"
249,45. Ausgabe 1930.txt,Sozialdemokraten,"die Hauptschuld 
 die Polizei des Sozialdemokraten Zörgiebel trage . Sie sei von"
250,46. Ausgabe 1930.txt,Sozialdemokratie,"Es waren die 
 Leuchten der Sozialdemokratie , Haas und Nagel , der"
251,46. Ausgabe 1930.txt,sozialdemokratischen,"ist noch , daß sogar die sozialdemokratischen Gewerkschaften , die doch die Arbeiter"
252,46. Ausgabe 1930.txt,Sozialdemokratische,"Zeit hinwegkommen . 
 Stadt-Wächter-Partei 
 Sozialdemokratische Verteidigung 
 Der „ Vorwärts “"
253,46. Ausgabe 1930.txt,Sozialdemokratie,"noch weit größere Opfer kosten . Sozialdemokratie dem 
 deutschen Volke . “"
254,46. Ausgabe 1930.txt,Sozialdemokratie,"Spiele . Wieder einmal verteidigt die Sozialdemokratie Lebensinteresse 
 und Zukunft der deutschen"
255,47. Ausgabe 1930.txt,sozialdemokratische,"Parteiregierung ! In Preußen hat die sozialdemokratische Regierung Braun bei 
 der Abstimmung"
256,47. Ausgabe 1930.txt,Sozialdemokraten,"„ starke Mann “ der 
 Sozialdemokraten nun wohl versuchen wird , durch"
257,47. Ausgabe 1930.txt,sozialdemokratischen,Liest man nun noch in allen sozialdemokratischen und auch in den Zentrums-Blättern die
258,47. Ausgabe 1930.txt,Sozialdemokraten,"sind , darum kümmern sich diese Sozialdemokraten nicht . Es wird einen 
"
259,47. Ausgabe 1930.txt,Sozialdemokratische,"Deutschlands , weichen müssen . 
 Sozialdemokratische preußische Regierung sabotiert Amnestie-Gesetz Nachdem der"
260,48. Ausgabe 1930.txt,Sozialdemokraten,"6 Tage Gefängnis 
 Wahlniederlage der Sozialdemokraten – Die Osnabrücker Volkszeitung und das"
261,48. Ausgabe 1930.txt,Sozialdemokratische,"Verantwortungsgefühl sich vermeiden lassen . 

 Sozialdemokratische Misswirtschaft Direktorium Braun , Severing und"
262,48. Ausgabe 1930.txt,sozialdemokratischer,"8. bis 1. 
 9. als sozialdemokratischer Agitator im Kreise Höxter in verschiedenen"
263,48. Ausgabe 1930.txt,Sozialdemokratische,"war , erhalten . 
 Überall Sozialdemokratische Misswirtschaft In Lübeck hat sich der"
264,48. Ausgabe 1930.txt,Sozialdemokratischen,"
 zurückgetreten . Er gehörte der Sozialdemokratischen Partei an . Auf die sozialdemokratischen"
265,49. Ausgabe 1930.txt,Sozialdemokraten,"
 der Oberbürgermeister einen Dringlichkeitsantrag der Sozialdemokraten , die übersteigerten 
 Kleinhandelspreise tunlichst"
266,49. Ausgabe 1930.txt,Sozialdemokraten,". Dazu lagen 
 Anträge der Sozialdemokraten und Kommunisten vor . Senator Schulte"
267,49. Ausgabe 1930.txt,Sozialdemokratie,"Die Bier- und Getränkesteuer wolle die Sozialdemokratie 
 bewilligen . 
 Bv ."
268,49. Ausgabe 1930.txt,Sozialdemokraten,"Sitzung wurde ein Deckungsvorschlag der 
 Sozialdemokraten , der die Erhöhung der Vermögenssteuer"
269,49. Ausgabe 1930.txt,Sozialdemokraten,"seiner Unkosten scharf , daß die Sozialdemokraten z. B. Gelder 
 für die"
270,50. Ausgabe 1930.txt,sozialdemokratischen,"vielmehr die 
 jämmerlichen Reste dieser sozialdemokratischen Vereinigung von Angestellten hat nämlich 
"
271,50. Ausgabe 1930.txt,Sozialdemokraten,"selbstverständlich ein Jude , von den Sozialdemokraten in den Reichstag gewählt 
 wurde"
272,50. Ausgabe 1930.txt,sozialdemokratische,"scheint allmählich einzusehen , daß dieses sozialdemokratische 
 Organ von keinem vernünftigen Arbeiter"
273,50. Ausgabe 1930.txt,Sozialdemokratie,"
 dokumentieren will , daß die Sozialdemokratie nach dem Ausspruch „ prominenter “"
274,50. Ausgabe 1930.txt,Sozialdemokraten,"es zu einer schweren Schlägerei zwischen Sozialdemokraten und Kommunisten . 
 Um 11"
275,52. Ausgabe 1930.txt,Sozialdemokraten,"Ruhe vor 
 sich . Die Sozialdemokraten erlitten in den Industriegemeinden starke Verluste"
276,52. Ausgabe 1930.txt,Sozialdemokraten,"stellt sich 
 folgendermaßen dar : Sozialdemokraten : 72 ( 71 ) Mandate"
277,53. Ausgaben 1930.txt,Sozialdemokraten,"über eine Demonstration der 
 Wiener Sozialdemokraten gegen die Beschlagnahme ihrer Waffen ."
278,53. Ausgaben 1930.txt,Sozialdemokratie,"einer Stadt , in der die Sozialdemokratie die stärkste Partei auf dem 
"
279,53. Ausgaben 1930.txt,sozialdemokratischen,", sondern ganz allein die 
 sozialdemokratischen Stadtverordneten , die wahrlich Zeit genug"
280,53. Ausgaben 1930.txt,Sozialdemokraten,"Erfahrungen ) . Jedenfalls werden die Sozialdemokraten auf dem Rathaus tüchtig weiter 
"
281,53. Ausgaben 1930.txt,sozialdemokratischen,"
 Humbug statt Brot 
 Die sozialdemokratischen Bürgervorsteher haben einen Antrag eingebracht ."
282,54. Ausgabe 1930.txt,Sozialdemokraten,"der 
 Nationalsozialisten . Es erhielten Sozialdemokraten 54000 ( 61779 ) Stimmen ,"
283,54. Ausgabe 1930.txt,sozialdemokratische,"! 
 Vorlämpfer des Proletariats Der sozialdemokratische Senator Kirch in Altona hatte sich"
284,54. Ausgabe 1930.txt,Sozialdemokratische,": Proletarier ! 
 Klassenkämpfer ! Sozialdemokratische Genossen ! Nächstes Mal werdet ihr"
285,54. Ausgabe 1930.txt,Sozialdemokratie,"umzustürzen wünschten . Dagegen sei die Sozialdemokratie Trägerin des 
 heutigen Staates ."
286,55. Ausgabe 1930.txt,Sozialdemokrat,"d. Red. ) 
 Reichstagspräsident und Sozialdemokrat Löbe gratuliert den Esten zur Vernichtung"
287,55. Ausgabe 1930.txt,Sozialdemokraten,"haben 

 Zentrum , Volkspartei und Sozialdemokraten ihre marxistischen Hauswurstaden dem betörten 
"
288,55. Ausgabe 1930.txt,Sozialdemokrat,". Und dann kommt Herr 
 Sozialdemokrat Löbe daher und erzählt den aushorchenden"
289,55. Ausgabe 1930.txt,Sozialdemokraten,"
 erweiterten Schöffengericht in Elberfeld zwei Sozialdemokraten wegen Unterschlagung 

 öffentlicher Gelder in"
290,55. Ausgabe 1930.txt,Sozialdemokratie,"klagen an Durch die von der Sozialdemokratie zusammen mit dem 
 christlichen Zentrum"
291,56. Ausgabe 1930-1.txt,Sozialdemokraten,"Luderwirtschaft , 
 die Zentrum und Sozialdemokraten seit der Revolution betrieben haben ,"
292,56. Ausgabe 1930-1.txt,Sozialdemokraten,"sondern ist mit den Stimmen der Sozialdemokraten , des Zentrums 
 und anderer"
293,56. Ausgabe 1930-1.txt,Sozialdemokraten,"schwarz-roten 
 Kuhhandels willen auch die Sozialdemokraten gegen die Aufhebung sind , die"
294,56. Ausgabe 1930.txt,Sozialdemokraten,"Luderwirtschaft , 
 die Zentrum und Sozialdemokraten seit der Revolution betrieben haben ,"
295,56. Ausgabe 1930.txt,Sozialdemokraten,"sondern ist mit den Stimmen der Sozialdemokraten , des Zentrums 
 und anderer"
296,56. Ausgabe 1930.txt,Sozialdemokraten,"schwarz-roten 
 Kuhhandels willen auch die Sozialdemokraten gegen die Aufhebung sind , die"
297,58. Ausgabe 1930.txt,sozialdemokratische,"Die Parteien haben Bonzen , die sozialdemokratische allein ein Heer 
 von rund"
298,58. Ausgabe 1930.txt,Sozialdemokrat,"die Bonzenclique , Rief 
 der Sozialdemokrat . 
 Doch die Antwort kam"
299,58. Ausgabe 1930.txt,sozialdemokratischer,"kamen ja bekanntlich die intimsten Beziehungen sozialdemokratischer 

 Würdenträger und „ Führer “"
300,58. Ausgabe 1930.txt,sozialdemokratischen,", ihre Geschäfte mit der 
 sozialdemokratischen Futterkrippenpolitik auf das glücklichste zu verbinden"
301,58. Ausgabe 1930.txt,sozialdemokratischen,"galizischen 
 Schieber mit dem eines sozialdemokratischen Großen gemeinsam in einem Gästebuch findet"
302,59. Ausgabe 1930.txt,sozialdemokratische,"den Stadt-Wächter in Bielefeld hat die sozialdemokratische 
 Zeitung allein 180.000 ( einhundertachtzigtausend"
303,6. Korrekt OCR.txt,Sozialdemokratie,"reicher werden . 
 Wie die Sozialdemokratie die Bankangestellten vertritt . 
 In"
304,6. Korrekt OCR.txt,sozialdemokratischen,"
 Angestelltenvertreter , Marg , vom sozialdemokratischen Allgemeinen Verband der deutschen 
 Bankangestellten"
305,6. Korrekt OCR.txt,Sozialdemokrat,Herr Marg vom A. V. ist Sozialdemokrat . Er tritt als solcher auch
306,6. Korrekt OCR.txt,Sozialdemokratie,"allen Mitteln zu bekämpfen . Die Sozialdemokratie 
 erstrebt bekanntlich die Verstaatlichung der"
307,6. Korrekt OCR.txt,Sozialdemokratie,"Banken aber sind lieb Kind der Sozialdemokratie , 
 besonders die von Jakob"
308,60. Ausgabe 1930.txt,Sozialdemokraten,"Was ist nun die Meinung der Sozialdemokraten ? “ 
 Nun kommt die"
309,61. Ausgabe 1930.txt,Sozialdemokratie,"taub . Denn 
 Zentrum wie Sozialdemokratie bemühten sich nicht , eine vernünftige"
310,62. Ausgabe 1930.txt,Sozialdemokraten,Friedenssaal viel Haare ! Bei den Sozialdemokraten und beim Zentrum finde ich die
311,66. Ausgabe 1930.txt,Sozialdemokratie,"zum offenen 
 Bürgerkrieg treiben . Sozialdemokratie und Zentrum haben ... Die Juden"
312,66. Ausgabe 1930.txt,Sozialdemokratie,"eine Diktatur ausgerichtet , wobei die Sozialdemokratie sich sehr 
 widerspruchsvoll benommen hat"
313,66. Ausgabe 1930.txt,sozialdemokratischen,"Ironie des Schicksals . Daß die sozialdemokratischen Wähler über dieses 
 Verhalten ihrer"
314,66. Ausgabe 1930.txt,Sozialdemokratie,". 
 Überhaupt befindet sich die Sozialdemokratie in einem Zustande der Erstarrung ihres"
