Nr,Datei,Treffer-Wortform,Kontext
182,47. Ausgabe 1930.txt,Nationalsozialisten,"das Signal zum Bürgerkrieg . Die Nationalsozialisten wollten die Macht auf legalem 
"
183,47. Ausgabe 1930.txt,Nationalsozialist,"des Abgeordneten Dr. Frick 
 ( Nationalsozialist ) der Auswärtige Ausschuss zusammen ."
184,48. Ausgabe 1930.txt,Nationalsozialisten,"entspringt der Angst vor den 
 Nationalsozialisten , die vom Volke am 14."
185,48. Ausgabe 1930.txt,Nationalsozialistischen,"Dolch Gegen den Bezirksführer der hiesigen Nationalsozialistischen Arbeiter-Partei , 
 den Kaufmann Buch"
186,48. Ausgabe 1930.txt,Nationalsozialisten,"gespannt sein . Dass die 
 Nationalsozialisten nicht nur durch sozialdemokratische Minister verfolgt"
187,48. Ausgabe 1930.txt,Nationalsozialisten,"2.000 
 Stimmen , während die Nationalsozialisten auf Anhieb 3.400 Stimmen und vier"
188,48. Ausgabe 1930.txt,Nationalsozialisten,"( 1 Sitz ) 
 ● Nationalsozialisten : 3.411 Stimmen ( 4 Sitze"
189,49. Ausgabe 1930.txt,Nationalsozialisten,"Kommunisten , 
 Sozialdemokraten und die Nationalsozialisten . Wir haben hier zum erstenmal"
190,49. Ausgabe 1930.txt,Nationalsozialistischen,"Arbeiter vertreten , mit der 
 Nationalsozialistischen Arbeiterpartei . Bei einem gleichen Verhalten"
191,49. Ausgabe 1930.txt,Nationalsozialisten,"
 erzwingen . 
 ● Die Nationalsozialisten im Braunschweigischen Landtag haben folgenden Antrag"
192,49. Ausgabe 1930.txt,nationalsozialistischen,"Gewerkschaftssekretärs , hat die beiden 
 nationalsozialistischen Blätter „ Frankfurter Volksblatt “ und"
193,49. Ausgabe 1930.txt,nationalsozialistischen,"Reinkultur . Die 6 Millionen 
 nationalsozialistischen Stimmen verursachen ihnen schlaflose Nächte und"
194,50. Ausgabe 1930.txt,Nationalsozialisten,"| Der Mainzer Erzbischof und 
 Nationalsozialisten 
 Stadt-Wächter-Rundfunk ! 
 Die verlogene"
195,50. Ausgabe 1930.txt,Nationalsozialisten,"wenn das „ Splittergrüppchen “ der Nationalsozialisten im Landtag , 
 heute noch"
196,50. Ausgabe 1930.txt,nationalsozialistischen,"christlich-sozialen Volksdienst bekennt , wird der nationalsozialistischen Bewegung als deren 
 Befürworter in"
197,50. Ausgabe 1930.txt,nationalsozialistische,"Kreisen das 
 Verständnis für die nationalsozialistische Idee wächst . 
 Pastor Flemming"
198,50. Ausgabe 1930.txt,nationalsozialistischen,"Flemming hebt besonders vier Vorzüge der nationalsozialistischen Partei hervor : 1. das 
"
199,52. Ausgabe 1930.txt,Nationalsozialisten,"beredtem Munde 
 die Stellungnahme der Nationalsozialisten zu den außen- und innenpolitischen Dingen"
200,52. Ausgabe 1930.txt,Nationalsozialisten,"restlos versagt haben , sind wir Nationalsozialisten der 
 Überzeugung , dass das"
201,52. Ausgabe 1930.txt,Nationalsozialisten,", die behaupten , dass wir Nationalsozialisten mit Italien zusammengehen wollen und 
"
202,52. Ausgabe 1930.txt,Nationalsozialisten,"müssen unbedingt die Politik der 
 Nationalsozialisten mitmachen ! “ 
 Was liegt"
203,52. Ausgabe 1930.txt,Nationalsozialisten,"die mit einem überwältigenden Siege der Nationalsozialisten endeten . In 
 der Stadt"
204,53. Ausgaben 1930.txt,nationalsozialistische,", 
 daß man auch nichtuniformierte nationalsozialistische S.A.-Leute eben als S.A.-Leute erkennen 
"
205,53. Ausgaben 1930.txt,Nationalsozialistin,"36. 

 Aufsehenerregender Giftmordversuch an einer Nationalsozialistin in 
 Oldenburg 
 Während des"
206,53. Ausgaben 1930.txt,Nationalsozialistin,"Hitler-Treffens in Oldenburg ist an einer Nationalsozialistin aus Osnabrück ein 
 Giftmordversuch verübt"
207,53. Ausgaben 1930.txt,nationalsozialistische,gegen seine Gegner eröffnet . Der nationalsozialistische „ Angriff “ und die kommunistische
208,54. Ausgabe 1930.txt,Nationalsozialisten,"diesen Antrag stimmten auch die 
 Nationalsozialisten . Da aber die Durchführung des"
209,54. Ausgabe 1930.txt,Nationalsozialisten,". Ob es für die 
 Nationalsozialisten ratsam ist , sich für utopische"
210,54. Ausgabe 1930.txt,Nationalsozialisten,"endeten mit einem Wahlsieg der 
 Nationalsozialisten . Es erhielten Sozialdemokraten 54000 ("
211,54. Ausgabe 1930.txt,Nationalsozialisten,"Verlust 
 rund 8000 Stimmen ; Nationalsozialisten 34000 ( 2130 ) , Gewinn"
212,54. Ausgabe 1930.txt,Nationalsozialisten,"50 Proz . 
 Bankpolitik der Nationalsozialisten 
 Die nationalsozialistische Partei hat ihre"
213,55. Ausgabe 1930.txt,Nationalsozialisten,", in denen unter anderem den Nationalsozialisten und 
 Kommunisten vorgeworfen wird ,"
214,55. Ausgabe 1930.txt,Nationalsozialisten,"hetzen . 
 Auf Antrag der Nationalsozialisten verbot der Universitätsrichter die Verteilung der"
215,55. Ausgabe 1930.txt,Nationalsozialisten,"? 
 Das gewaltige Anwachsen der Nationalsozialisten hat die Häuptlinge der usurpatorischen 
"
216,55. Ausgabe 1930.txt,Nationalsozialisten,"van Bistruppe . 
 Massenversammlungen der Nationalsozialisten . Zwei Massenversammlungen veranstaltet 
 die"
217,56. Ausgabe 1930-1.txt,nationalsozialistischen,"hat in dem bekannten Prozess des nationalsozialistischen 
 Ministers Franzen gegen den linkdemokratischen"
218,56. Ausgabe 1930-1.txt,Nationalsozialisten,"mehr tragen können . 

 Die Nationalsozialisten haben bereits bei Zusammentritt des neuen"
219,56. Ausgabe 1930.txt,nationalsozialistischen,"hat in dem bekannten Prozess des nationalsozialistischen 
 Ministers Franzen gegen den linkdemokratischen"
220,56. Ausgabe 1930.txt,Nationalsozialisten,"mehr tragen können . 

 Die Nationalsozialisten haben bereits bei Zusammentritt des neuen"
221,57. Ausgabe 1930.txt,Nationalsozialisten,"
 seiner größten Gegner , der Nationalsozialisten , geworden . Staatsstreichler mögen sich"
222,57. Ausgabe 1930.txt,nationalsozialistischen,"Heute werden die ehrlichen Kämpfer der nationalsozialistischen , 
 kommunistischen und der stadtwächterischen"
223,57. Ausgabe 1930.txt,Nationalsozialisten,"Aufsatzes „ Die Bankpolitik der 
 Nationalsozialisten “ in Nr. 54 des „"
224,57. Ausgabe 1930.txt,Nationalsozialisten,"Zier , auch für einen 
 Nationalsozialisten . 
 Als Mann , der"
225,57. Ausgabe 1930.txt,Nationalsozialisten,", auch 
 in Zukunft die Nationalsozialisten , die diesen Grundsätzen seit ihrem"
226,59. Ausgabe 1930.txt,Nationalsozialisten,"behaupten , daß , weil die Nationalsozialisten manchmal fette Inserate an 
 solche"
227,61. Ausgabe 1930.txt,nationalsozialistischer,"Verbundenheit mit dem kommenden , auf nationalsozialistischer Basis 
 stehenden Russland ist für"
228,61. Ausgabe 1930.txt,Nationalsozialisten,", befanden sich 
 noch keine Nationalsozialisten und auch noch keine Stadtwächter im"
229,62. Ausgabe 1930.txt,nationalsozialistischen,"ist , das Ansehen des 
 nationalsozialistischen Abg . Heinrich Vetter , Hagen"
230,62. Ausgabe 1930.txt,nationalsozialistische,Volkszeitung “ schreibt : „ Der nationalsozialistische Abg . Vetter macht taube Zurufe
231,62. Ausgabe 1930.txt,Nationalsozialist,"unserer Emden “ , und bisher Nationalsozialist , mit den Nationalsozialisten abrechnen will"
232,62. Ausgabe 1930.txt,Nationalsozialisten,"und bisher Nationalsozialist , mit den Nationalsozialisten abrechnen will . 
 Das will"
233,62. Ausgabe 1930.txt,Nationalsozialisten,"Weizen wächst Unkraut . Was einzelne Nationalsozialisten sich haben zuschulden 
 kommen lassen"
234,66. Ausgabe 1930.txt,Nationalsozialisten,"Der Stadt-Wächter 
 ... gegen die Nationalsozialisten eine Diktatur ausgerichtet , wobei die"
235,66. Ausgabe 1930.txt,Nationalsozialisten,"Brüning gegen das unerwartete Anschwellen der Nationalsozialisten zu 
 halten . Auch eine"
236,66. Ausgabe 1930.txt,Nationalsozialisten,"Jugend befindet sich bei den 
 Nationalsozialisten und Kommunisten , den beiden Flügelparteien"
237,66. Ausgabe 1930.txt,Nationalsozialisten,"damit nicht durch einen Eintritt der Nationalsozialisten in die 
 Regierung die roten"
238,66. Ausgabe 1930.txt,Nationalsozialisten,"
 Um die radikale Opposition der Nationalsozialisten zu hemmen , wird in Regierungskreisen"
239,OCR 10 Ausgabe.txt,Nationalsozialisten,"

 Strassers Rede . 
 Die Nationalsozialisten im Kampf mit den Internationalen ."
240,OCR 11 komplett.txt,Nationalsozialisten,"mit der Pressestelle . 
 Die Nationalsozialisten im Kampf mit den Internationalen ."
241,OCR 11 komplett.txt,Nationalsozialisten,"bono ? 
 1927 haben wir Nationalsozialisten den Antrag im Reichstag gestellt ,"
242,OCR 12 korrekt.txt,Nationalsozialisten,"geklagt – leisten . 
 Die Nationalsozialisten im Kampf mit den Internationalen ."
243,OCR 12 korrekt.txt,Nationalsozialisten,"Kragen geht . Sollten wir 
 Nationalsozialisten an die Stelle kommen , dann"
244,OCR 12 korrekt.txt,Nationalsozialist,"daß ein Deutscher und zwar ein Nationalsozialist bestraft , bezw . gerügt wird"
245,OCR 12 korrekt.txt,Nationalsozialisten,"der hiesige Stahlhelm geschlossen zu den Nationalsozialisten übergegangen 
 ist , war uns"
246,OCR 13 Korrekt.txt,nationalsozialistischen,"im Matthäserbräu gehaltenen Rede des 
 nationalsozialistischen Gauleiters Reinhardt . 
 Nach längeren"
247,OCR 13 Korrekt.txt,Nationalsozialisten,"bringen . “ 
 Für uns Nationalsozialisten ist die Einstellung zum Young-Plan eindeutig"
248,OCR 13 Korrekt.txt,Nationalsozialisten,"gesamten deutschen Volkes . 
 Wir Nationalsozialisten erklären ferner , daß wir den"
249,OCR 13 Korrekt.txt,Nationalsozialisten,"Volk anerkennen werden . Und wir Nationalsozialisten erklären endlich , daß 
 wir"
250,OCR 13 Korrekt.txt,Nationalsozialisten,"in deutscher Sprache ! 
 Die Nationalsozialisten im Kampf mit den Internationalen ."
251,OCR 15 korrekt.txt,Nationalsozialisten,"( Jude ) , hat die Nationalsozialisten 28 
 mal verklagt , weil"
252,OCR 15 korrekt.txt,Nationalsozialistischen,"an den „ Vorstand der 
 Nationalsozialistischen Deutschen Arbeiterpartei , Berlin , Reichstag"
253,OCR 15 korrekt.txt,Nationalsozialistischen,"habe ich die Entlassung der der Nationalsozialistischen Deutschen 
 Arbeiterpartei angehörenden Arbeitnehmer im"
254,OCR 15 korrekt.txt,Nationalsozialistischen,"Staatsform . 
 Da die der Nationalsozialistischen Deutschen Arbeiterpartei angehörenden Arbeitnehmer 
 solidarisch"
255,OCR 17. Ausgabe korrekt.txt,Nationalsozialisten,"hat . ( Heiterkeit bei den Nationalsozialisten ) . 
 Wer ist schuld"
